# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
1000000 309.64251892006012667 12920.874466726920218 3754.4566773181813915 -3156.5585581768236807 -1385.9117106263925052 8296.9269461213971226 15533
2000000 310.13669417524744176 12941.49558962408446 3909.4720255119364083 -2923.5233750086890723 -1464.770193501356971 8297.7655940219810873 15559
3000000 308.33384832984933155 12866.265789361212228 3811.626884511136268 -2929.7971803257928514 -1513.3831742439649588 8254.8072390808938508 15563
4000000 308.41478796872161183 12869.64326774143592 3837.3023849250866988 -2866.2276992547876944 -1520.1777758683347201 8223.7078600482091133 15564
5000000 306.72954890726907706 12799.321005684543707 3790.3102209915691674 -2767.0684133799027222 -1628.3114060649795647 8185.6900404364514543 15579
6000000 311.1088314584351906 12982.061284039382372 4060.7249276746219948 -2729.5901259654588102 -1518.5881527183969411 8308.9032063584782009 15571
7000000 310.28831750673373335 12947.822582568058351 4044.1873830063277637 -2771.9112237892786652 -1501.2095637410443487 8317.3081705366512324 15562
8000000 314.42222472914698983 13120.323750896581259 3861.0449128324125923 -2912.3828468165561389 -1464.5448763318877354 8237.9726359808555571 15556
9000000 309.97616376890459833 12934.796919054930186 3738.0847592252603135 -2840.9020347695741293 -1586.4967248609095805 8165.4835188557444781 15558
10000000 311.01529107938739571 12978.157997438232997 3926.2816901900941957 -2841.3343497300079434 -1457.0918286636974699 8224.7078685837986995 15573
11000000 310.61401147165241809 12961.413257550169874 3723.8372793389507933 -2867.8890912199995 -1565.2603431340180578 8156.9867136929678963 15582
12000000 308.86608307804203832 12888.475072479734081 3749.092690063687769 -2743.912511166040531 -1660.3869854686181498 8153.3921866983473592 15598
13000000 310.87303134851157438 12972.221732190399052 3874.3653736840083184 -2723.4861200629120503 -1544.8868719634206172 8142.738365710340986 15578
14000000 310.43306095795463762 12953.862489392317002 3832.8629231357094795 -2853.4290218410519628 -1557.6214813234298617 8243.913426300190622 15575
15000000 306.66239281938067052 12796.518692280335017 3743.843078414492993 -2892.600275259456339 -1585.6117894471390173 8222.0551431210878945 15577
16000000 313.51145814496288722 13082.318955096006903 3900.3784143939583373 -2907.2468083814210331 -1528.7607703388616756 8336.3859931142415007 15551
17000000 307.34851455787816121 12825.149427112675767 3761.6557732806277272 -2897.8491749999670901 -1538.9918511275996025 8198.4967994081944198 15573
18000000 306.8278375491230463 12803.422429504920729 3811.4744092871565044 -2865.4015728632903119 -1599.2594319037893911 8276.135414054235298 15575
19000000 311.15851593111432294 12984.134535596278511 3726.6427490391884021 -2907.5782662259421159 -1611.9128359243200066 8246.1338511894500698 15587
20000000 310.6057985527644405 12961.07054591506494 3692.3668652139467667 -2912.7651096238259925 -1548.7948453023273032 8153.9268201401009719 15590
21000000 310.68275219647875929 12964.281695254820079 3789.7454639365437288 -2877.8040856779152818 -1545.8472879930307045 8213.3968376074899425 15559
22000000 308.8992223514720763 12889.857920007912981 3723.7161716635855555 -2884.5782353346048694 -1523.6861703140903046 8131.9805773122807295 15576
23000000 310.68957116976343968 12964.56623982612291 3632.9367919683754735 -2960.744205889481691 -1540.9889192347127391 8134.6699170925703584 15577
24000000 310.11266642994002041 12940.492951220552641 3560.5055634876180193 -2982.2973744258065381 -1552.1341123935637825 8094.9370503069885672 15573
25000000 310.62924955374984393 12962.049117723963718 3672.3132864906428949 -2901.7285166639203453 -1608.3780736752121356 8182.4198768297746938 15579
26000000 309.8674485056208141 12930.260409423093733 3320.7004756078608807 -3141.1335774739482076 -1606.1236292785424666 8067.9576823603511002 15560
27000000 308.14996366269127748 12858.592583791796642 3572.4127205650784163 -2960.0847442956583109 -1509.2057894391516584 8041.7032542998895224 15569
28000000 309.52672784117959282 12916.042694915347965 3688.0054383966144087 -2954.6860104097659132 -1488.1501617053754671 8130.8416105117566985 15564
29000000 309.31289118750936495 12907.119642073334035 3440.6183908725570291 -3029.0426278825284498 -1619.2413107004490485 8088.9023294555345274 15561
30000000 312.60279742009538495 13044.402033350874262 3472.0153389829692969 -3035.7482982772535252 -1679.0866697076376113 8186.8503069678608881 15568
31000000 310.74993354892330899 12967.085062907519386 3645.1635177227612985 -3017.7083457350017852 -1569.5265503020782489 8232.3984137598417874 15568
32000000 309.99759113100839159 12935.691047732290826 3591.789965692403257 -2986.6300399531482981 -1553.4441692786181193 8131.8641749241696743 15579
33000000 307.98093714408287269 12851.539384392359352 3741.8450102993861037 -3019.4047781113831661 -1484.069342472469998 8245.3191308832392679 15581
34000000 309.78301445201879005 12926.737114847421253 3602.4956439649558888 -3017.8218178322945278 -1547.0863518363626099 8167.4038136336130265 15579
35000000 311.90007256663477619 13015.078477762057446 3753.5941050982660272 -2892.0332697455519337 -1415.8579842037179333 8061.4853590475358942 15548
36000000 311.27784446386749551 12989.113919556142719 3589.3776729883816188 -2991.9305414773607481 -1497.1878921202846868 8078.4961065860261442 15558
37000000 308.85037759413552294 12887.819708395036287 3720.9802990558896454 -2998.9767657855973084 -1482.5150724494251335 8202.4721372909116326 15551
38000000 310.0041785790857034 12935.965931136415747 3508.4467538636949939 -3006.6155224557214751 -1584.8996850855071443 8099.9619614049242955 15577
39000000 311.10732413281419895 12981.998385813398272 3609.7117454041863311 -2947.4702838998664447 -1546.9487441379308166 8104.1307734419842745 15586
40000000 310.16359554616371952 12942.61813971121228 3649.784830965295896 -2910.4729754750132997 -1610.288589529946421 8170.5463959702556167 15572
41000000 313.58812752514495514 13085.518242584783366 3830.3113747276379399 -2911.1129969278990757 -1425.1392435403308809 8166.5636151958678965 15560
42000000 308.33032202858481696 12866.118642592964534 3558.8052030223416295 -3031.6875319297646456 -1587.596969803576485 8178.0897047556836696 15576
43000000 310.21192571630871271 12944.634878444565402 3624.3212099081033557 -2900.1885064722418974 -1591.3465940584881082 8115.8563104388340435 15575
44000000 311.22388315317607521 12986.862202563477695 3542.8389750968995031 -2995.4513831498379659 -1574.5961899113724485 8112.8865481581096901 15585
45000000 309.37705477208322691 12909.79708322226179 3725.3045390836900879 -3026.506341318896375 -1504.2665862497401577 8256.0774666523266205 15568
46000000 307.67125583256847676 12838.616891174295233 3544.2397243534423978 -3067.8180440445780732 -1606.9976666752413621 8219.0554350732600142 15585
47000000 308.83755185088693906 12887.284511164903961 3567.8943582279393922 -3046.2344812778596861 -1568.8839425055621177 8183.0127820113611961 15565
48000000 310.95509963528616026 12975.646307196480848 3563.1187983922573039 -2942.5153742735592459 -1622.3276026455009742 8127.9617753113179788 15587
49000000 308.6374095058590683 12878.93289936236215 3618.9260304480508239 -2882.349949832868333 -1574.2463631459399949 8075.5223434268582423 15591
50000000 311.4310573325342375 12995.507241279639857 3822.5194106139283576 -2959.9707795102071941 -1505.8898430237052253 8288.3800331478414591 15560
51000000 312.69378653407295587 13048.19885984499706 3779.8488592379799229 -2962.8790290879514941 -1561.1412832597720808 8303.8691715857039526 15585
52000000 306.9364582690491261 12807.954993997500424 3672.553498886862144 -3008.9282908022014453 -1520.894852938863778 8202.37664262792714 15566
53000000 309.96517711686334451 12934.338464084567022 3645.8171708625104657 -2949.62455228484896 -1519.2753386931908608 8114.7170618405498317 15572
54000000 312.51925068139564701 13040.915764970779492 3475.2981427969207289 -2990.0056305210123355 -1581.7708965636677476 8047.0746698816010394 15581
55000000 304.95797595319453421 12725.396171885618969 3573.7398150469157372 -2990.8093219610950655 -1631.3415540872892961 8195.8906910953010083 15569
56000000 307.07272187478315573 12813.641050777472628 3551.5958085655893228 -2967.5492081198030974 -1602.8301589753264125 8121.9751756607183779 15575
57000000 309.15649625161461245 12900.593537903352626 3533.7327535946733406 -3054.3469282470105099 -1647.5378562910650544 8235.6175381327484502 15569
58000000 307.14739094945741726 12816.756868798131109 3496.7192152656693906 -2871.7407874515411095 -1718.1597557886316281 8086.619758505842583 15583
59000000 311.86275847544141016 13013.521421935773105 3791.4655629011476776 -2918.1933837177662099 -1434.5196571481042156 8144.1786037670171936 15553
60000000 311.74155880978349842 13008.463958668658961 3633.9328052018881863 -2897.3582764185689484 -1577.2557717779523045 8108.5468533984103487 15576
61000000 313.09920410039075023 13065.116269958014527 3757.5288652536673908 -2907.1916700928341015 -1532.0673143005287784 8196.7878496470293612 15564
62000000 306.49657638758225175 12789.599444538584066 3591.5362081144776312 -3042.8852393073329949 -1442.3283407215176339 8076.7497881433273506 15576
63000000 310.88506790766393806 12972.723998062545434 3585.7382579294394418 -3032.25897183554207 -1485.9302268541619014 8103.9274566191425038 15581
64000000 310.55654450302478153 12959.015255201491527 3709.3024625459120216 -3028.3422340798560981 -1428.0672040478248164 8165.7119006735929361 15560
65000000 309.93127619625283842 12932.923834268731298 3669.2223194435382538 -2959.6272407248707168 -1581.0163181479435934 8209.8658783163518819 15566
66000000 306.99761425449560193 12810.506932967637113 3543.6697958371587447 -2921.9619102570813993 -1550.867674318296622 8016.4993804125369934 15587
67000000 306.20584512975909774 12777.467705980880055 3558.0629168591776761 -3045.0985557121953207 -1560.2236450762552522 8163.385117647628249 15579
68000000 310.2626711951697871 12946.75240404926808 3558.1303128220033614 -3011.7026611466535542 -1614.3992324657810968 8184.2322064344371029 15588
69000000 311.61032782961819976 13002.987905099609634 3510.4848106009485491 -3086.4721183091505736 -1538.8766067509875484 8135.833535661085989 15574
70000000 312.43527479762963139 13037.411589070914488 3678.1043378087751989 -3022.320995414906065 -1513.9094751748389172 8214.3348083985201811 15578
