# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
1000000 307.77056426410558743 12842.760869145582546 3698.2360896032496385 -3094.6757891863903751 -1414.284749828740587 8207.19662861838151 15572
2000000 308.1139995254689552 12857.091859330652369 3731.8667631851940314 -2938.0089804743247441 -1464.0332981130832195 8133.9090417726010855 15558
3000000 310.558475332536716 12959.095825550251902 3448.0105980384696522 -3039.1730090540595484 -1546.3712862752536239 8033.5548933677828245 15553
4000000 308.38294127197332273 12868.314357318216935 3670.4245863250052935 -2934.9842996582319756 -1493.7880943775303422 8099.1969803607689755 15567
5000000 310.37898898452203866 12951.606154624962073 3652.1731976728797235 -2904.6798060144692499 -1564.9635521525310651 8121.8165558398795838 15584
6000000 309.8397659715041641 12929.105262676808707 3618.7294980484621192 -3002.6974865417541878 -1584.3529264096657698 8205.7799109998813947 15573
7000000 307.15698813063903572 12817.157343428405511 3500.0132916551224298 -3028.2121755171133373 -1664.302716785308121 8192.5281839575436607 15582
8000000 314.09814376947929304 13106.800383978088576 3449.5736679891097083 -3097.5210945030034964 -1624.7235546209653876 8171.8183171130785922 15580
9000000 307.65360538139941582 12837.88036679569268 3447.5816075033321795 -3097.7828687644359889 -1536.9508121133553686 8082.315288381123537 15566
10000000 307.4998346950332575 12831.463768254481693 3520.1244370889794482 -3134.2680342269873108 -1535.6727723876254004 8190.0652437035914772 15580
11000000 308.88259038799395739 12889.163895450221389 3563.0444190437656289 -2968.9714383609612014 -1606.3665563784334154 8138.3824137831607004 15581
12000000 310.86572586055683587 12971.916886159851856 3605.0383516975284692 -3029.3319849392955803 -1479.4840224691690764 8113.8543591059924438 15576
13000000 311.71516946343280097 13007.362774526876819 3621.1220524415889486 -3026.2279286944681189 -1566.0220855800162099 8213.3720667160723679 15580
14000000 315.64231665097366886 13171.236185709385609 3318.5773757293518429 -3110.7594244099041134 -1666.3161955598664008 8095.652995699123494 15589
15000000 312.82221438279719905 13053.557943336454628 3321.2106851469534377 -3149.1174621368591033 -1551.3534904864025066 8021.6816377702143654 15558
16000000 310.08407477936793839 12939.299868535632413 3372.1818211095223887 -3076.00912440713455 -1586.745051300790692 8034.9359968174476307 15590
17000000 308.28587139190602784 12864.263790428294669 3547.6272025710659364 -3019.6526186799428615 -1627.4087646421025966 8194.6885858931127586 15580
18000000 310.9732169982933101 12976.402315040299072 3236.0440686066176568 -3080.2757726543168246 -1696.3294195198691341 8012.6492607808031607 15591
19000000 310.44339560434229952 12954.293737236117522 3848.7293933802629908 -2982.4497566859549806 -1473.9229468167545747 8305.1020968829725462 15586
20000000 311.46591198208335527 12996.961668639864001 3701.965082933425947 -3032.1803302599155359 -1503.9815622328433165 8238.1269754261847993 15570
21000000 312.08751484430933942 13022.900136583451967 3612.4549307869192489 -2959.0706601966803646 -1532.2154742341804194 8103.7410652177795782 15569
22000000 313.33743111567150663 13075.057092587157968 3427.8159129947798647 -2997.7590629438218457 -1682.4038185312715541 8107.9787944698728097 15588
23000000 309.60675848378883757 12919.382242372370456 3663.6786700320908494 -3035.688342143675527 -1584.7584990313325761 8284.1255112070994073 15576
24000000 312.83252686580362933 13053.988266338705216 3752.5524291809738315 -2927.6440869124153323 -1515.4584048457152221 8195.6549209391050681 15581
25000000 306.71154309332274579 12798.56965260007928 3592.2229327898003248 -2926.6221720278808789 -1583.3568645643822492 8102.2019693820639077 15582
26000000 309.82069815064613749 12928.309593785728794 3510.6695191444623561 -3092.0931626828732988 -1565.0784452403377145 8167.8411270676733693 15567
27000000 309.92715554548442469 12932.751886270487375 3520.4399222069841926 -3037.050816483293147 -1619.4268152539843868 8176.9175539442603622 15584
28000000 307.09244419935885162 12814.464031035233347 3473.5070219692001956 -3083.334308650294588 -1557.4349627175599835 8114.2762933370549945 15570
29000000 311.3950613117795001 12994.005186370981392 3593.8017919460676239 -3024.8977568402892757 -1533.8527468755057726 8152.5522956618624448 15589
30000000 306.46011708617390923 12788.078057688080662 3542.1703630060237629 -3040.1067403763508992 -1512.037975267310685 8094.3150786496844376 15575
31000000 310.04024732044797474 12937.471020556758958 3547.0283752615850972 -3012.7949830847519479 -1476.1840218105542135 8036.0073801568923955 15550
32000000 308.90176170470141415 12889.963883053354948 3532.6618108755860703 -2913.0407149011575711 -1588.1163548670820092 8033.8188806438256506 15575
33000000 308.7911666877386665 12885.348934383499 3495.6326688519629897 -3050.8767299104538324 -1564.7564654051629986 8111.2658641675807303 15574
34000000 307.22138541054681582 12819.844536300332038 3695.6880735763234043 -2980.3339570369307694 -1605.8789650812173022 8281.9009956944719306 15591
35000000 310.54238031770296402 12958.424206978834263 3497.3796689656246599 -3068.0035037105444644 -1638.7148811076917809 8204.0980537838622695 15576
36000000 312.6624973507410914 13046.893213542261947 3580.8444583020800565 -2986.5714137407103408 -1577.5242893485060449 8144.9401613912968969 15608
37000000 312.41751765362948845 13036.670612575459018 3471.6941945369289897 -2997.9254154362333793 -1680.9835175680450448 8150.6031275412078685 15586
