# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
1000000 304.83181247983918638 12720.131577064481462 3769.1684473938412339 -2922.8799934464541366 -1481.8746355161943029 8173.9230763564892186 15562
2000000 309.7670300390955731 12926.070111512332005 3536.4849317444723056 -2986.5337698908028869 -1630.7310397725523217 8153.7497414078279689 15569
3000000 307.20180391835663158 12819.027432747037892 3477.5187239840215625 -2995.6326673646053678 -1623.5802966346254834 8096.7316879832524137 15578
4000000 312.7974291941123397 13052.523698063072516 3469.4871165602858127 -2977.4660984320735224 -1625.7622335828389168 8072.7154485751980246 15587
5000000 307.02351564669339723 12811.587755582917453 3616.2800298153424592 -3004.80974963835979 -1503.4595002205742276 8124.5492796742764767 15566
6000000 307.38315448954347175 12826.594894647769252 3516.6662698296959206 -3057.8800244927779204 -1477.4583479162229196 8052.0046422386967606 15571
7000000 307.96779355495107211 12850.99092397482309 3594.9499311779991331 -2992.331452282594455 -1559.1801391380995483 8146.4615225986926816 15575
8000000 308.9727786885414389 12892.92730531333109 3289.4461631938265782 -3091.2612022250395967 -1695.4718559663206179 8076.1792213851867928 15605
9000000 311.1021726155252054 12981.783421445983549 3757.545714651520484 -3018.1938401671923202 -1410.6400006916862822 8186.379555510398859 15578
10000000 309.37989348287402436 12909.915537967763157 3386.3458827913709683 -3053.2337611181314969 -1624.0192966763952427 8063.5989405858981627 15579
11000000 310.76388853906070153 12967.667381758232295 3629.5424572028696275 -2987.6343886729678161 -1602.5495159046693061 8219.7263617805056128 15557
12000000 309.52780202479920035 12916.087518836015079 3787.724725439570193 -2991.0130526468851713 -1447.1333920726904125 8225.8711701591455494 15569
13000000 311.13718082159084588 12983.244256467791274 3696.0829183883042788 -2978.7293847913151694 -1530.205905913935112 8205.0182090935541055 15569
14000000 306.57221486004505095 12792.755713939037378 3707.040164382770854 -3005.3342630521456158 -1480.8012452197217499 8193.1756726546373102 15579
15000000 313.69076869193446555 13089.801290132101713 3507.7970605215678006 -3063.4508498010800395 -1515.8424711811335328 8087.0903815037818276 15567
16000000 308.14899315308713312 12858.552086017758484 3503.5351388952076377 -3031.619979074384446 -1631.9347426982417346 8167.0898606678347278 15591
17000000 309.32970984711266738 12907.821457154128439 3603.4025510398450933 -3017.0642988976742345 -1558.7929862141500053 8179.2598361516702425 15583
18000000 307.66191783736576326 12838.227231949826091 3742.454985386304088 -3003.7132044224135825 -1447.2499324202065054 8193.4181222289244033 15561
19000000 308.52644043757982217 12874.302342144554132 3743.9102482469570532 -2919.7505536236708394 -1552.0007782569646224 8215.6615801275929698 15568
20000000 311.61425692372324647 13003.151859752466407 3471.116769467164886 -3057.1698136913864801 -1635.544702967565172 8163.8312861261165381 15582
21000000 310.74036203750353025 12966.685659434304398 3582.0979656952031291 -2879.7665280299925143 -1638.302622593230808 8100.1671163184264515 15588
22000000 308.55377073074583905 12875.442790453682392 3572.6018337302875807 -3025.4768025657067483 -1551.593843104885309 8149.6724794008787285 15576
23000000 312.55725040534161963 13042.5014311273153 3499.4485017270999379 -3047.2192979372375703 -1639.7191723589244248 8186.3869720232614782 15589
24000000 307.27074903209353351 12821.904399265704342 3659.2615927128858857 -2992.9944137294673965 -1456.3756043340185897 8108.6316107763723267 15577
25000000 305.59734905676106109 12752.076162855197254 3409.4676740534678174 -3056.336063547556023 -1631.7447067261814482 8097.5484443272052886 15597
26000000 310.61633876228307827 12961.510371571173891 3266.7771073803523905 -2973.3138891182034058 -1681.9892268364194479 7922.0802233349750168 15599
27000000 311.58933930358608677 13002.112088331781706 3551.8026397460057524 -3093.8576204745991163 -1439.4974958492557562 8085.1577560698606248 15604
28000000 311.1658231471250815 12984.439453735769348 3606.4732145046623373 -3036.7664762439508195 -1538.7614640134870569 8182.001154762099759 15584
29000000 311.28957349212686267 12989.603352668509615 3504.5813251084464355 -3084.9972572589831543 -1576.841813254776298 8166.4203956222063425 15554
30000000 311.7250589740786495 13007.77544758624208 3470.8291342785191773 -3046.8665989478563461 -1542.0714216795020093 8059.76715490587776 15553
31000000 311.24966339552463523 12987.937969794249511 3561.2880357010690204 -3012.9847300016299414 -1526.2883669425636981 8100.5611326452617504 15577
32000000 310.93073074428383507 12974.629433342615812 3427.9096946038444003 -3140.8829847562606119 -1612.5750498071258789 8181.3677291672311185 15573
33000000 310.22257485372199426 12945.079249483063904 3666.1422177371800899 -3018.8822489720000704 -1546.0523240922639161 8231.0767908014440764 15566
34000000 309.89845908849952139 12931.554430185853562 3593.2676665092521944 -3006.1574692905628581 -1479.6203309033285223 8079.0454667031435747 15549
35000000 310.28328667946846053 12947.612654397387814 3718.3797558090004713 -2895.6542566626640109 -1572.2782342686450647 8186.3122467403090923 15584
36000000 307.85697318052109495 12846.366571507469416 3640.7728593368465226 -2956.8914113057135182 -1542.6404906622242379 8140.304761304783824 15558
37000000 313.90944003889831038 13098.926086795829178 3357.0640152489131651 -3079.1866448156488332 -1687.1115744433657255 8123.3622345079274965 15589
38000000 309.4266447032666747 12911.866389717602942 3461.7146010669002862 -3059.5688882388512866 -1617.4578292242836142 8138.7413185300347322 15574
39000000 306.6013618585662357 12793.97197038304148 3580.8713293028349653 -3065.0451005609629647 -1528.5791423229704833 8174.4955721867690954 15577
40000000 315.03841462656976091 13146.036344696791275 3520.9372177038985683 -3102.2629760033978528 -1564.7191419280193259 8187.9193356353162017 15577
41000000 311.78231314581756806 13010.164570269764226 3612.3047068024388864 -2891.8782846785547918 -1609.1630889997750273 8113.3460804807691602 15570
42000000 312.74743018458292454 13050.437321399287612 3548.222264760989674 -2968.2632486055604204 -1549.1671640292206575 8065.6526773957702972 15584
43000000 306.05394324208009493 12771.129089343849046 3453.2433523901127046 -3018.6609042466534447 -1592.0815615698491001 8063.9858182066145673 15575
44000000 308.24020587239613178 12862.358243195625619 3633.658556862167643 -3046.4725399865847066 -1508.5771529778378408 8188.708249826589963 15560
45000000 310.19264132963883185 12943.830172617346761 3695.6512638538856663 -3010.0866901938902629 -1539.3464940962894616 8245.0844481440653908 15588
46000000 308.68623833263677625 12880.970446219145742 3368.6007630278313627 -3099.9717980847899526 -1726.9888462027415699 8195.5614073153628851 15581
47000000 308.62104024479776854 12878.249836945664356 3684.4330986900386051 -3095.9329139184792439 -1523.2082988131669481 8303.5743114216838876 15572
48000000 312.8717796985605446 13055.62622267068582 3467.6610496338153098 -3058.7740233196736881 -1604.1008392229750825 8130.5359121764640804 15565
49000000 311.27218436199331109 12988.877732788123467 3556.2888584780803285 -3057.7382288175258509 -1495.3967434810369923 8109.423830776642717 15555
50000000 313.95591957752060353 13100.865601710978808 3538.4906637250478525 -3147.2188312641933408 -1535.2264343672168252 8220.9359293564593827 15588
51000000 309.7812533511699371 12926.663626997398751 3486.8954634742381131 -3001.7871313920200009 -1627.5160428354929536 8116.1986377017510677 15582
52000000 307.45364031524678694 12829.536152549857434 3729.7650099511047301 -2998.8722756094948636 -1451.6747325736309904 8180.3120181342301294 15561
53000000 308.53460530901793391 12874.643048838377581 3543.317971958025737 -3038.6747965751183074 -1557.5737544722574057 8139.5665230054019048 15571
54000000 309.42889699582690355 12911.960374192132804 3601.7870125319673207 -3084.9061504522323958 -1513.4386264324384683 8200.1317894166386395 15571
55000000 309.84281262702666027 12929.232394614911755 3391.1566859243102954 -3092.8681106274107151 -1685.7081373358309975 8169.7329338875515532 15594
56000000 309.73479704073469065 12924.725081356396913 3343.8296564269357987 -3044.4338335279389867 -1681.9371135991575557 8070.2006035540316589 15596
57000000 311.29788721932033013 12989.950270868865118 3641.2723733806615201 -3013.3039499694004917 -1473.6913808883123238 8128.2677042383738808 15573
58000000 310.05570282483972733 12938.115953406299013 3394.4719111046961189 -3030.9239552594344786 -1562.7497724975564779 7988.1456388616879849 15573
59000000 310.9448190686154021 12975.217316010570357 3574.9265513812706558 -3046.0515116107317226 -1650.406234409604167 8271.3842974016060907 15583
60000000 305.57154606012585418 12750.999446125364557 3507.165437986548568 -2966.8998027006618941 -1669.817446680504645 8143.8826873677162439 15581
61000000 309.64849633416685037 12921.123894413976814 3506.8693155999276314 -3020.9305663682143859 -1595.6068728416053091 8123.4067548097482359 15579
62000000 309.57171431427485686 12917.919906654846272 3408.2317294193189809 -3071.3613273046316863 -1616.5867645945195363 8096.1798213184702036 15583
63000000 307.72595667032112488 12840.899467418319546 3520.3927735705492523 -3013.7214903085259721 -1609.3037840313072593 8143.4180479103833932 15578
64000000 310.63968399684114274 12962.484529920528075 3602.4024562554450313 -3040.1677526590246998 -1481.1550579624793045 8123.7252668769478987 15577
65000000 309.65312764521058853 12921.317151427972931 3457.1236991228997795 -3165.5969874392631027 -1654.1981599114299115 8276.9188464735925663 15584
66000000 309.74376800093483553 12925.099424812187863 3621.9328034809304881 -3038.3064222822886222 -1499.7958930543113638 8160.0351188175309289 15568
67000000 308.51299417740432318 12873.741251760775413 3462.6927537390865837 -3021.4999836099550521 -1572.3895939412150256 8056.5823312902575708 15576
68000000 310.99940579648858829 12977.495130636478279 3571.5367426542984504 -3006.6947073889768944 -1544.189822571696368 8122.4212726149717128 15569
69000000 311.53723764028615051 12999.937971374738481 3361.5539119332806877 -3045.2300794029833924 -1614.4390662087130295 8021.2230575449775642 15581
70000000 309.82334656926059324 12928.420107950811143 3571.8835425282904907 -2971.0298837169534636 -1611.2550570549487929 8154.1684833001927473 15570
71000000 308.92612486239158898 12890.980517665506341 3675.2429116570669976 -3005.4183820587995797 -1448.2980952209190946 8128.9593889367852171 15564
72000000 308.96362986544573914 12892.545539930622908 3504.1559807737990013 -3033.7372763068324275 -1623.7830018983640912 8161.6762589789950653 15580
73000000 309.05167020434390679 12896.219318876999751 3528.5347194837008828 -2983.1188043683555406 -1673.9423673788210181 8185.5958912308760773 15591
74000000 313.93902223251279793 13100.16050321730836 3657.577777826518286 -2993.8373427264473321 -1530.5906097405072614 8182.0057302934737891 15574
75000000 308.97160201393018042 12892.878204611679394 3656.6389896593359481 -2994.4110437434119376 -1484.16459145690078 8135.2146248596491205 15565
76000000 313.4636996342513271 13080.326070773227912 3522.8319180540238449 -2969.637564530095915 -1615.4817779210052322 8107.9512605051240826 15590
77000000 309.73298137507271122 12924.649316606213688 3624.1954411055912715 -3005.3151526020160418 -1634.592329832239102 8264.1029235398455057 15570
78000000 311.18860533643464805 12985.390117130360522 3780.5014065548848521 -2952.8608151163689399 -1439.6077338610721199 8172.9699555323259119 15559
79000000 306.68412631317295336 12797.425595330965734 3473.6985545166344309 -3014.8963824434713388 -1654.9062002030075291 8143.5011371631126167 15572
80000000 307.73849711583312683 12841.422759641824086 3650.2584479496335916 -3040.48475231408338 -1493.0920632165034476 8183.8352634802213288 15552
