# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
1000000 312.24134321261703917 13029.319142097479926 2947.4667277791686502 -4472.5281135440527578 -1099.8429503442221176 8519.8377916674435255 15466
2000000 311.69380064136913688 13006.471088629379665 3369.8633188191533918 -4086.9282678513413885 -1013.9626382452433973 8470.7542249157377228 15390
3000000 313.47147149853060455 13080.650377922889675 3441.2127060568009256 -3971.5026717440478023 -1105.2992364382955657 8518.0146142391458852 15425
4000000 307.99704546908628799 12852.211558375325694 3640.7654029187742708 -3862.0326533165780347 -977.37201763333507643 8480.1700738686868135 15407
5000000 310.26281543867798973 12946.758423094290265 3805.3606512228125212 -3686.0190615344727121 -931.40316931279016899 8422.7828820700760843 15384
6000000 309.51297900096096782 12915.468978362636335 3866.4731758324815019 -3708.5831360219112867 -859.24351469075622845 8434.2998265451496991 15378
7000000 309.36015631409128446 12909.091938285588185 3828.1729129580976405 -3659.9966287439065127 -967.47425810440404348 8455.643799806408424 15388
8000000 309.08101884833467921 12897.443989655728728 4019.051476526845363 -3604.2105209733522315 -1049.5646601698026643 8672.8266576700007136 15399
9000000 307.72050377721734549 12840.67192713244367 3706.1290611412596263 -3609.8665289490704708 -1110.5894028523157431 8426.5849929426440212 15399
10000000 312.43476220563792367 13037.39019944780739 3893.5539472113723605 -3624.0245704892172398 -1006.5128295048798464 8524.0913472054708109 15386
11000000 310.01056197867541186 12936.232299931816669 3854.977395292798974 -3623.2685979181264884 -974.23129529215191269 8452.4772885030761245 15398
12000000 307.69465823293222684 12839.593434958962462 3897.9407431211611765 -3654.3582365375377776 -965.82039733885221722 8518.1193769975507166 15396
13000000 315.32571173876499415 13158.024781989817711 3825.9831042461000834 -3633.1482602377882358 -1017.4776905923117738 8476.609055076200093 15390
14000000 308.39148201081798106 12868.670748342454317 3928.3381185840985381 -3674.180924872788637 -977.66238430601958953 8580.1814277629091521 15408
15000000 310.94105523970830518 12975.060257603370701 3896.7357399700695169 -3630.531783314925633 -967.8340658220563455 8495.1015891070510406 15399
16000000 304.42893275182257184 12703.320066781438072 3737.2458288438724594 -3643.3799600344727878 -1062.6550424731317435 8443.2808313514760812 15398
17000000 314.33998330128582666 13116.891950996927335 3803.0747994791354358 -3662.2148906235706818 -1009.9940489392795371 8475.2837390419863368 15390
18000000 309.95498187171068594 12933.913033225671825 3748.8077811936200305 -3624.9531119014941396 -1022.3617876642335887 8396.1226807593484409 15406
19000000 311.59914914466082791 13002.521436910612465 3784.2978398045256654 -3591.4101303871093478 -977.22627516103239032 8352.9342453526660393 15374
20000000 307.61091631054694062 12836.099021883792375 3730.929504857286247 -3611.3541017422212462 -1032.2755666278624176 8374.5591732273715024 15408
21000000 314.01506666072617691 13103.333712485420619 3890.647336106840612 -3538.3980016035602603 -973.85412864721331516 8402.8994663576140738 15406
22000000 306.5840775101776785 12793.250722873019185 3897.9477257686748999 -3593.3794926091668458 -963.57417022350614388 8454.9013886013490264 15379
23000000 313.42827331102483868 13078.847788408054839 3813.640965885831065 -3608.459447259598619 -1002.8870489265952983 8424.9874620720256644 15373
24000000 308.79700410209949268 12885.592520110772966 3894.4282345158144381 -3551.7084522840891623 -1035.1905916219116079 8481.3272784218152083 15388
25000000 312.09379265145810223 13023.162099179475263 3895.7328313680218344 -3532.8577927764245032 -985.60374719223113971 8414.1943713366763404 15381
26000000 308.83638109816149608 12887.235657573834033 3868.7995855253197988 -3585.9943519919788741 -989.73076974847185738 8444.5247072657712124 15380
27000000 307.98374367576826671 12851.656496356570642 3716.0617597303144066 -3580.5496411825206451 -1058.1729254942388252 8354.7843264070743317 15387
28000000 308.72452239255034101 12882.567977249267642 3834.8254794020449481 -3669.0403050374684426 -941.30063306859392469 8445.1664175081059511 15358
29000000 310.69032601083898726 12964.597738106182078 3894.2910582433860327 -3646.2300929818384247 -967.32782506114017451 8507.848976286364632 15380
30000000 313.52321320071615673 13082.809474293006133 3927.4199169197954689 -3574.8493525727631095 -927.87184878863354243 8430.141118281191666 15380
31000000 308.66545181548480059 12880.103058950569903 3894.3752782513024613 -3592.3267486729782831 -971.0918098604665829 8457.7938367847455083 15390
32000000 312.3813154076260048 13035.159952225400048 3799.4109638188751887 -3655.0906550459312712 -937.82303362339564501 8392.3246524882015365 15392
33000000 309.41540780110369724 12911.397492220097774 3834.5369537611168198 -3661.812446617115711 -924.88027639038625694 8421.2296767686184467 15385
34000000 308.65636732976849999 12879.723978261185039 3661.6265729294023004 -3726.4803651725401323 -1068.4089854403621302 8456.5159235423052451 15387
35000000 311.30487961863019564 12990.242052223760766 3643.8910590608988969 -3663.3992740173735001 -1094.1178256634457284 8401.4081587417167611 15395
