# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
1000000 312.10944624270297254 13023.815297868512062 3849.6369079061851153 -3594.6451848031438203 -957.52205757885576531 8401.8041502881842462 15390
2000000 311.81745743807698545 13011.631083945243518 3993.7691073193777811 -3568.1490234576190232 -922.02782854452004813 8483.9459593215178757 15413
3000000 311.40368775268228774 12994.365153601542261 3856.9177847533001113 -3702.4765550424885987 -852.53305322315691228 8411.9273930189465318 15381
4000000 309.92887685833659361 12932.823713832665817 3881.7939081413273925 -3586.5479032388966516 -967.58631392302368113 8435.9281253032495442 15372
5000000 308.51371518455289333 12873.771338206555811 3746.4490200148802614 -3707.7714317023774129 -1007.1191575088155332 8461.3396092260736623 15426
6000000 309.2868394377713912 12906.032545284504522 3671.9862684899362648 -3780.9546077136847089 -1028.5905341788602527 8481.5314103824821359 15405
7000000 307.9032583759143904 12848.297976798417949 3493.0874984750826115 -3692.8726178735855683 -1031.5852721081168966 8217.5453884567850764 15393
8000000 312.18050714556085268 13026.780552797070413 3787.5178920378211842 -3732.8500142251132274 -921.53857640560715936 8441.9064826685425942 15395
9000000 312.46967766458197957 13038.847164284346945 3630.8056430788742546 -3734.1527427050114056 -1073.651756542858493 8438.610142326744608 15428
10000000 307.50732838165123439 12831.776467506579138 3386.5214256820754599 -3771.2044645176101767 -1109.0334887362844256 8266.7593789359707444 15417
11000000 308.09210953483892581 12856.178425923653776 3485.8458123124141821 -3842.8463125724820202 -1007.9129016350620986 8336.6050265199592104 15405
12000000 312.83333822516539158 13054.022123034153992 3424.9509479864304922 -3850.4979293467226853 -1132.7279228011607302 8408.1768001343134529 15421
13000000 310.41553358443121624 12953.131100842007072 3559.8238752054412544 -3849.6844241562293973 -886.23803895231276329 8295.7463383139838697 15404
14000000 312.39156680095879892 13035.587726055764506 3290.7548286981382262 -3822.5680214191538653 -1053.8438937811572487 8167.166743898448658 15425
15000000 307.40497488084434963 12827.505423788912594 3445.3603442839494164 -3783.9202328767205472 -1036.894860295514718 8266.1754374561860459 15420
16000000 308.48325386458668618 12872.500237284282775 3347.09066841735239 -3804.4841247951735568 -1045.8407200815022406 8197.4155132940286421 15414
17000000 310.4883419854999147 12956.169276004813582 3454.0521798621239213 -3769.0968059312062906 -1099.7826318958022966 8322.931617689133418 15403
