# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
1000000 307.83864520878006488 12845.601775306606214 3569.3890458183627743 -3726.5508259431126135 -978.45330359695685729 8274.3931753584329272 15400
2000000 309.12902505462551517 12899.447209908783407 3682.3560187993602995 -3734.7480073710867146 -955.23750795129649305 8372.3415341217441892 15404
3000000 309.88152197639794849 12930.847672276582671 3336.5554782091267043 -3789.9392781390688469 -1159.4022048962860936 8285.8969612444816448 15404
4000000 310.60243593792625916 12960.930229512925507 3411.5136028459123736 -3899.3431469732240657 -1071.8369173646158288 8382.6936671837538597 15396
5000000 311.45846314873682559 12996.650841041218882 3500.2676255728024444 -3843.928637495865587 -877.10418706507016395 8221.3004501337381953 15376
6000000 308.90555433480858483 12890.122143287397193 3445.1041401370807762 -3830.808355815840514 -999.50634084307569083 8275.4188367959959578 15414
7000000 310.76846395267057233 12967.858306263990016 3266.219756980769489 -3811.991379300911376 -1231.4830152423869549 8309.6941515240687295 15435
8000000 308.66132419919142649 12879.930820292393037 3656.4852830800673473 -3754.6812093905055008 -903.51058370810289944 8314.6770761786756339 15394
9000000 308.80780851337607373 12886.043370472922106 3271.0401983197252775 -3892.4073185717124943 -1033.80245081519206 8197.2499677066298318 15400
10000000 310.86881390486803411 12972.045745184226689 3509.7825711597793088 -3855.3975458160134622 -996.90368808336063466 8362.0838050591537467 15422
11000000 310.56652456272428253 12959.431706724355536 3305.4752624965267387 -3810.0839287931721628 -1065.7181393804655727 8181.2773306701637921 15422
12000000 310.00350665533784422 12935.937892860447391 3262.9801214910494309 -3822.8203958352337395 -1091.2889280765427884 8177.0894454028266409 15403
13000000 305.20113973932461704 12735.542997865457437 3439.8531690453819465 -3821.6433709682169138 -925.88438076310092129 8187.3809207766989857 15375
14000000 308.39593523968579802 12868.856574279321649 3518.8096855650592261 -3817.9632669448146771 -947.32378812848617144 8284.0967406383588241 15388
15000000 311.37059210582566493 12992.984126538716737 3369.6317297824307389 -3944.3553511289837843 -1063.8786066064660645 8377.8656875178803602 15400
16000000 307.93957856335856604 12849.813558651358107 3300.2904092803737512 -3815.8449789120986679 -1090.4965894016520451 8206.6319775941246917 15421
17000000 311.12209125399732557 12982.614593560665526 3248.6544729680153978 -3853.9955178391219306 -1060.3467386021222865 8162.9967294092593875 15415
18000000 308.72178897713627066 12882.453916307140389 3345.2993133407871937 -3881.4524733385678701 -1065.9997129151483932 8292.7514995945039118 15430
19000000 314.97273655311261109 13143.295706410692219 3662.3064518126302573 -3761.8564187506813141 -866.60197471259334634 8290.7648452759058273 15374
20000000 313.3002658311995674 13073.506246221300898 3577.741855596217647 -3812.6076789877461124 -912.37399305688120421 8302.7235276408464415 15375
21000000 313.31492187590919229 13074.117818929506029 3328.184530073377573 -3805.4754245710710165 -1125.5594103652197191 8259.2193650096669444 15433
22000000 310.18941637037261216 12943.695600356455543 3580.9532771022782072 -3755.3209740085267185 -976.70191910400376401 8312.9761702148098266 15405
23000000 309.05255796477337071 12896.256363663696902 3364.4201844663075462 -3776.1175543929948617 -1138.732996854498424 8279.2707357138024236 15422
24000000 311.33239083423006832 12991.390050129322844 3480.1419277718632657 -3800.9751991730308873 -996.13626121793868151 8277.2533881628332892 15413
25000000 307.10145560877606385 12814.840062370511077 3431.5870989893924161 -3897.6337911701634766 -900.14601393565055787 8229.3669040952063369 15397
26000000 305.72988839477500278 12757.606812051419183 3445.6302748161710952 -3777.0865268591051063 -1054.1853794921064491 8276.9021811673828779 15415
27000000 311.20848057930925279 12986.219478417931896 3618.8798686023815208 -3723.5255864044233931 -900.19753574539458896 8242.6029907521988207 15395
28000000 310.81569716010648108 12969.829270542633822 3415.9644007877950571 -3828.5374850230045922 -1049.0923394481537798 8293.5942252589538839 15414
29000000 316.14644792995221678 13192.272757150383768 3412.17778906434296 -3847.2842861760691449 -1066.7048478101078217 8326.1669230505212909 15415
30000000 308.88215178650682446 12889.145593329518306 3529.6628193387387 -3772.9273201298929052 -894.42749516513595154 8197.0176346337666473 15392
31000000 311.71011876064329726 13007.152016983178328 3425.8267562506534887 -3811.6371432878072483 -939.59199668884525636 8177.0558962273062207 15398
32000000 311.24527126995110393 12987.754693597635196 3469.9755763624507381 -3893.3375514501785801 -886.9620268769959921 8250.2751546896251966 15412
33000000 310.25330137638292172 12946.361416878826276 3268.779421908511722 -3794.0082663565535768 -1091.6727955012588609 8154.4604837663246144 15435
34000000 305.62159379321195729 12753.087855943256727 3501.5696259687797465 -3708.3113584728966998 -980.99402336526509316 8190.8750078069415395 15400
35000000 312.01892593066264681 13020.03803371034337 3349.5400013930775458 -3891.9322772858968165 -956.52109642863513272 8197.9933751076096087 15409
36000000 307.67536444036909415 12838.788336639245244 3492.8275632819163548 -3857.6691098333767513 -892.38054972145710053 8242.8772228367506614 15406
37000000 310.80575382976115861 12969.414351675479338 3338.7192785945626383 -3843.8130272258631521 -1145.8229082129805647 8328.3552140334068099 15426
38000000 311.52704166754864445 12999.512510154918346 3477.1728803315008918 -3871.7539705888066237 -982.61943835211832265 8331.5462892724262929 15407
39000000 313.17033511760416786 13068.084450643633318 3440.2812617174408842 -3776.0914161821856396 -861.03061630205979782 8077.4032942016856396 15387
40000000 309.52860635137261625 12916.121082064739312 3378.6866592832493552 -3808.5174387413248951 -970.71555088804439038 8157.9196489126188681 15419
41000000 314.2715221402617658 13114.035179031232474 3272.2751568457406393 -3874.3220766369718149 -966.26197691609809226 8112.859210398810319 15386
42000000 311.06799534094943738 12980.357259832428099 3346.2738313932613892 -3801.202720579653942 -1004.945247219586804 8152.4217991925015667 15408
43000000 304.60390591980120689 12710.621410105935865 3391.4584976951355202 -3807.0320122414409525 -1007.2922169339700531 8205.7827268705477763 15412
44000000 308.38553735339183959 12868.422687537953607 3314.8177116474998911 -3835.4470335532678291 -1127.4589853451529962 8277.7237305459202616 15404
45000000 310.13291798828811352 12941.338015535633531 3510.7217504437940079 -3819.1969258464869199 -965.04510433410314363 8294.9637806243845262 15399
46000000 311.42068520234289508 12995.074429298190807 3552.7901160162664382 -3780.4582995153923548 -967.35115419402279713 8300.5995697256821586 15396
47000000 311.33791870236984778 12991.620719000484314 3384.9054760079693551 -3782.5363462653976967 -992.61569985710264064 8160.0575221304698061 15415
48000000 312.63671445876957478 13045.817335747071411 3365.361105473707994 -3858.6864319033179527 -1042.1250012426153262 8266.1725386196412728 15424
49000000 308.33373774577557924 12866.261174869183378 3466.8405780900884565 -3830.4062807012783196 -979.57488734917342299 8276.8217461405401991 15402
50000000 311.21756672584365333 12986.598628410531092 3529.9907294279255439 -3764.2226806572207352 -906.65309489591675174 8200.8665049810624623 15415
51000000 307.21184091983349163 12819.446260356879066 3407.4566673428425929 -3786.4776239143770908 -1069.172010265340532 8263.1063015225590789 15416
52000000 308.48160201884093112 12872.431308470520889 3328.0484301897063233 -3885.0687095119537844 -1079.6261397191437936 8292.7432794208034466 15417
53000000 308.05059419463532322 12854.446058866684325 3564.7233195864882873 -3756.3112884158717861 -1046.2201168553351636 8367.2547248576956918 15408
54000000 311.35953692213956856 12992.522811855214968 3657.7030532630724338 -3749.1585877948505185 -851.61850990689686114 8258.4801509648186766 15383
55000000 309.23591288805050681 12903.907463889798237 3563.4610116247595215 -3800.5794135817432107 -901.12820808686251439 8265.1686332933641097 15376
56000000 307.22498148495435544 12819.99459458740057 3563.143517599462939 -3800.0458031714424578 -915.69734389886798454 8278.8866646697715623 15408
57000000 305.83018160296478527 12761.791883137279001 3531.2312621707274047 -3695.3999313521858312 -875.54296997193614516 8102.1741634948502906 15378
58000000 309.93031969941358739 12932.883921224389269 3483.7877458382081386 -3798.3567675343706469 -875.5917689462743283 8157.7362823188532275 15382
59000000 304.2564797527681435 12696.123885972794596 3464.0680863755815153 -3890.471559996058204 -1014.948311338410349 8369.4879577100509778 15397
60000000 310.44928293070751124 12954.539405709474522 3380.7052739865666808 -3929.3969760811451124 -978.5948292697053148 8288.6970793374166533 15406
61000000 309.1565471652108954 12900.595662444220579 3567.1807157389994245 -3821.0635585977893243 -970.61512297357819534 8358.8593973103670578 15404
