# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
1000000 310.79947435584938376 12969.152319528167936 3482.755520367646568 -3690.7986785488533314 -1030.0391909105733248 8203.5933898270741338 15404
2000000 308.00477599722245259 12852.534140635531003 3366.970560008035136 -3906.5387842325476413 -945.20425427041561761 8218.7135985109980538 15416
3000000 305.99950969544141799 12768.857666719623012 3275.6365503103543233 -3866.3542162071953499 -1022.2655881883943039 8164.2563547059435223 15409
4000000 309.68293048745363194 12922.560775154834118 3251.4432399515744692 -3926.9179096032130474 -1038.6910568462790252 8217.0522064010656322 15418
5000000 308.70937693744957642 12881.935982248125583 3544.6264934566397642 -3875.8071972137004195 -981.11477130577191019 8401.5484619761136855 15399
6000000 311.7184929017887498 13007.501456158664951 3335.567865016808355 -3833.2026630481905158 -1079.6190222063487454 8248.3895502713476162 15440
7000000 309.51650587434050976 12915.616149004303225 3293.1371414943223499 -3812.2269810337602394 -1006.7781931952958985 8112.1423157233775783 15384
8000000 309.29553634247093896 12906.39545285373606 3227.597620833455494 -3913.8876543392907479 -1064.6053330212489527 8206.0906081939956493 15409
9000000 306.19208108686581227 12776.893355045489443 3227.1879787041534655 -3909.4679241178837401 -1064.6147465986457519 8201.2706494206831849 15411
10000000 310.84503222086186724 12971.053374515227915 3532.8462867116754751 -3884.2934087345456646 -871.11431000499601396 8288.2540054512173811 15392
11000000 309.14477011050365718 12900.104225266954018 3566.6207226111937416 -3773.1802279031203398 -965.51309304620895091 8305.3140435605237144 15403
12000000 309.0688579855846001 12896.936536798320958 3325.1769833550147268 -3796.8180520428450109 -1063.178128149585973 8185.173163547445256 15418
13000000 307.16882362506601112 12817.651219199329717 3567.8425154991082309 -3818.076477628336761 -960.34530334421162934 8346.2642964716578717 15415
14000000 311.83982980396410767 13012.564646080571038 3286.3577252913833036 -3886.4656654679010899 -1039.9605616126959831 8212.783952371981286 15410
15000000 309.28413961454060654 12905.91988608909196 3293.0153661967260632 -3894.1818904827696315 -1014.0070593331070086 8201.204316012603158 15408
16000000 308.27551429667136063 12863.831605830928311 3486.949358486471283 -3737.0131090003501413 -970.82717361206891837 8194.78964109889057 15397
17000000 310.2339246804007189 12945.552859135403196 3518.8851928311578376 -3721.6103633453462862 -922.18189070764299231 8162.6774468841485941 15394
18000000 309.12406091652570694 12899.240064567611626 3360.3186014470093141 -3834.1566981666037464 -1008.4467120016111039 8202.9220116152246192 15402
19000000 311.93432841323050297 13016.507918057137431 3542.1447328581880356 -3785.9075944094242914 -1014.768073513098102 8342.8204007807089511 15393
20000000 311.60502610574332039 13002.766672857722369 3518.3229726847248457 -3851.1844986441665242 -1046.6370200587562067 8416.1444913876475766 15404
21000000 310.65066033228947617 12962.942554396389824 3393.8734902515179783 -3904.4303020602710603 -968.67019638604142528 8266.9739886978313734 15414
22000000 311.92386068213954786 13016.071116806942882 3306.3307234422313741 -3827.7452677857322669 -1061.3487454713720126 8195.4247366993349715 15448
23000000 308.00788742002498566 12852.663975206005489 3364.4046795322760772 -3754.3029282184520525 -1154.9340572101627913 8273.6416649608909211 15422
24000000 309.01963516822274869 12894.882549360649136 3433.6909904883514173 -3872.2611889867384889 -951.2952021406856602 8257.2473816157762485 15407
25000000 308.36311441571041314 12867.48701512459229 3527.7019978914481726 -3776.469931349160106 -993.36835653759555953 8297.540285778204634 15405
26000000 309.37735977577824542 12909.809810526216097 3440.5695567430284427 -3844.7024762110486336 -1044.0779105705994425 8329.3499435246758367 15406
27000000 308.05289266617972999 12854.541970314487116 3451.6293531716260077 -3837.2036256481796954 -988.65335797916168303 8277.4863367989673861 15409
28000000 312.74457340033364972 13050.318112478005787 3346.0367428889230723 -3851.070082371348235 -1044.6332325409878194 8241.7400578012602637 15411
29000000 313.89684399608302101 13098.400474588042925 3419.6406691519582637 -3711.5839319553779205 -1073.9039596891329893 8205.1285607964673545 15413
30000000 311.48189165183612204 12997.628474050230579 3412.2355427447191687 -3806.4955441978449926 -956.7794002036546317 8175.5104871462181109 15410
31000000 308.57828347170550387 12876.465666930336738 3477.6649603764708445 -3815.4089221128460849 -1012.6593236731151819 8305.7332061624329071 15416
32000000 308.12184307952725248 12857.419157977212308 3296.1107420538883161 -3907.032313237472863 -993.41052806079301263 8196.5535833521535096 15423
33000000 309.14531906005055362 12900.127132031208021 3540.3279781617316075 -3737.1340170420398863 -1030.4906742545904308 8307.9526694583619246 15417
34000000 309.51782966374719308 12915.671388565084271 3248.525351566932386 -3843.6531725698769151 -1109.214042563810608 8201.3925667006205913 15436
35000000 310.89558423409710031 12973.162827116668268 3587.9845574468472478 -3830.8858396609102783 -839.95833924625526379 8258.8287363540130173 15376
36000000 308.50843903731828277 12873.551173235917304 3281.714050108601441 -3916.4770519859171145 -1031.2581202861342717 8229.4492223806519178 15404
37000000 310.74458295814758912 12966.861791530005576 3347.5931470626001101 -3836.1170443691239598 -1109.6093637777071308 8293.3195552094312006 15435
38000000 311.2399014525626626 12987.530619925106294 3424.52943172913956 -3822.5672030688729137 -968.80904456466419106 8215.9056793626768922 15410
39000000 307.06436215045926019 12813.292213192304189 3509.1200892346873843 -3900.9565690665385773 -921.1345919815629486 8331.2112502827876597 15405
40000000 308.87354919916589324 12888.786621468971134 3416.1839604140500342 -3884.0727182739174168 -992.30968544871984705 8292.5663641366882075 15419
41000000 309.10584626956870125 12898.479997224121689 3387.4829775991711358 -3786.695168891396861 -1077.7254258847960955 8251.9035723753640923 15413
42000000 309.29038925671949301 12906.180673407116046 3390.8278856007573268 -3774.307613784032128 -1050.1604976642040583 8215.2959970489937405 15409
43000000 309.14474178348791611 12900.103043227047237 3373.8720461258672003 -3846.329621690228123 -909.33375043772093704 8129.5354182538167152 15418
44000000 310.5527074628815285 12958.855141809481211 3321.9044209552512257 -3913.0447000386930085 -983.31989029900705646 8218.2690112929503812 15406
45000000 311.96071109858343107 13017.608824246408403 3383.5712947999936659 -3806.7602386142475552 -987.3774030952861267 8177.7089365095271205 15409
46000000 308.60397793244811737 12877.537854635382246 3501.1237558701877788 -3846.0076935821625739 -951.18703448362168729 8298.3184839359710168 15406
47000000 308.9333420199199054 12891.281677812230555 3423.3714108527847202 -3831.4695058125521427 -952.96563236945405606 8207.8065490347908053 15389
48000000 307.84288971749663233 12845.778891693887999 3295.3260206175582425 -3891.1797022569317051 -1009.5218874307088299 8196.0276103051983227 15401
49000000 307.29903255734222967 12823.08462438623792 3511.1309410702565401 -3879.2611885851219995 -890.95748675031791208 8281.3496164056959969 15384
50000000 310.88877748049128513 12972.878792452522248 3287.9490338939958747 -3898.9469296114143617 -1034.5514679885154692 8221.4474314939252508 15415
51000000 306.43447198515411856 12787.007929683311886 3288.8902443921879239 -3883.7089353970495722 -927.46775754235216027 8100.0669373315895427 15409
52000000 308.51779990623998629 12873.941786943163606 3534.6168136634983057 -3749.873026791661232 -1102.9106854331841987 8387.4005258883425995 15415
53000000 310.61448041334153913 12961.432825717740343 3366.8428973312616108 -3804.4210332185980405 -1114.7237505107602829 8285.9876810606183426 15417
54000000 311.53311272939998844 12999.76584560876654 3469.7529172490494602 -3806.5875037626506128 -1027.2619391514142535 8303.6023601631131896 15403
55000000 311.01476495469580641 12978.136043117754525 3531.7965724952696291 -3822.5257673623023038 -911.22130516753304619 8265.5436450251054339 15380
56000000 312.02408219601011297 13020.253196206449502 3408.267595588974018 -3816.5591100951523913 -945.00011479232716738 8169.8268204764535767 15406
57000000 308.53855941475171676 12874.808047185480973 3347.7562410208406618 -3727.0544212385921128 -1105.4605670460373403 8180.2712293054701149 15414
58000000 311.48513143833844197 12997.763665027365278 3680.9295517754503635 -3721.9185927519729375 -934.66854507101720628 8337.51668959844028 15381
59000000 313.8465151569633349 13096.300334676412604 3634.1654790131419759 -3759.4295397265077554 -964.19526869261994761 8357.7902874322699063 15424
60000000 309.24477022180968788 12904.277065900567322 3439.2154459025787219 -3767.0101020234687894 -1084.702385696219153 8290.9279336222662096 15405
61000000 307.21180534034914444 12819.444775683352418 3480.3670874574740992 -3834.592866632210189 -933.42917774643933626 8248.3891318361238518 15424
62000000 308.35967347405835426 12867.343430272974729 3331.5099799279159924 -3853.9920534907237197 -1055.8777531740120139 8241.3797865926517261 15410
63000000 310.28562480366878162 12947.710220485487298 3457.480609023839861 -3798.6739741462342863 -1093.8307193768182515 8349.9853025468928536 15415
64000000 309.80231150166997622 12927.542349080080385 3432.6370708886915963 -3863.2478767706998042 -1022.269996872345132 8318.1549445317359641 15402
65000000 308.4057187036249843 12869.264822183547949 3561.7788809745038634 -3738.5577338818352473 -945.79379120493376831 8246.130406061272879 15381
66000000 306.32429440358191641 12782.410399907663304 3490.3524686893042599 -3822.8337033706147849 -957.44019409388761233 8270.6263661538068845 15389
67000000 309.92477968828416124 12932.652745646186304 3586.2088230755298355 -3791.6033850292469651 -910.93382758748259675 8288.7460356922601932 15384
68000000 312.10874311551498295 13023.785957524163678 3438.8953063956250844 -3836.2617529831331922 -971.70134842264735653 8246.8584078014064289 15415
69000000 312.01161622863196499 13019.733011833317505 3143.0691924201846632 -3811.7083463065860087 -1189.4567442393140482 8144.2342829660847201 15449
70000000 311.1190166206826575 12982.486294155181895 3403.9234200358964699 -3844.2833082545666912 -1101.8797875078535071 8350.086515798317123 15423
71000000 312.78856739812135856 13052.153909850689161 3478.4282319334643034 -3802.8185629426470769 -973.69363580574531625 8254.9404306818560144 15411
72000000 313.17193798566438545 13068.151335698907133 3611.6046195704157071 -3720.3628699509790749 -893.76266745765667565 8225.7301569790506619 15400
73000000 308.83070258293435018 12886.998702446795505 3456.5609329762037305 -3737.4141822422097903 -973.15100250522129954 8167.1261177236356161 15399
74000000 309.67785615877181726 12922.349031741399813 3273.0624662461686967 -3842.1953930469198895 -1145.1802851103288958 8260.4381444034170272 15414
75000000 309.37364803949236602 12909.654925858661954 3440.1416409817138629 -3867.7777388474009967 -992.41590655190316284 8300.3352863810177951 15423
76000000 309.11999765660971207 12899.070511395510039 3396.120207382065928 -3766.2759385500353346 -1024.0103777088520474 8186.40652364095331 15399
77000000 310.13601055874266876 12941.46706342854668 3505.1454254132422648 -3851.1948403734177191 -953.75833587446538786 8310.0986016611241212 15401
78000000 311.7031814190738146 13006.862533097488267 3523.2257954125370816 -3720.8986173269704523 -976.2244584015345481 8220.3488711410427641 15395
79000000 306.1827692027068224 12776.504785392049598 3370.4951359461238098 -3885.8021079345662656 -982.70112919498626525 8238.9983730756775913 15397
80000000 309.71029409037930691 12923.702613425602976 3421.1854158577011731 -3847.3132076584024617 -1041.3719554751862688 8309.8705789912892214 15418
81000000 314.65246016431416365 13129.931097994656739 3320.60631747930438 -3831.7122727490686884 -1044.7062596934642897 8197.0248499218378129 15405
82000000 313.00127218614682079 13061.029731795732005 3440.9557432306492046 -3815.8358049494227089 -992.70987668302996099 8249.5014248631014198 15420
83000000 306.75512579410576564 12800.388287223329826 3489.1799155730523125 -3751.9176043005222709 -984.90111206421101997 8225.9986319377858308 15402
84000000 308.8401642560096434 12887.393522546042732 3465.0651915411690425 -3798.4865965241706363 -948.70390521268359407 8212.2556932780244097 15396
85000000 310.36467692214364433 12951.008935735269915 3567.6884281175321121 -3751.8913903204743292 -886.49356533849856987 8206.0733837765037606 15382
86000000 312.67509712721886217 13047.418981549659293 3241.9762818369854358 -3861.9732455142725485 -1039.1109163715748309 8143.0604437228321331 15425
87000000 312.22207426029143562 13028.515080320135894 3518.2139277166070315 -3736.5285037230423768 -973.02500240219535499 8227.7674338418437401 15436
88000000 309.70074781264014518 12923.304262912493868 3715.7983350579415855 -3767.9739559621493754 -878.91444059004095379 8362.6867316101324832 15384
89000000 310.34621598006890508 12950.238590900466079 3494.9497381729934204 -3748.9860724052255136 -983.4420311808819406 8227.3778417591020116 15412
90000000 312.5651623115984421 13042.831581999014816 3391.7448489842577146 -3791.5550475854779506 -1129.7229103973829751 8313.0228069671175035 15416
91000000 305.47222928729729574 12746.855120085665476 3351.9272943831738303 -3798.9911230840612006 -1064.7981707094697867 8215.716588176705045 15409
92000000 309.60413092360914789 12919.272598595560339 3704.2171657128842526 -3701.9116462031547599 -956.1628725303352212 8362.2916844463725283 15400
93000000 312.17225178168530419 13026.436070002249835 3462.5054042931242293 -3772.9010889793744354 -990.6228061054725913 8226.029299377971256 15412
94000000 311.70604715517282557 13006.982115564776905 3540.0301419608776996 -3807.1519408124604524 -969.33363265400919317 8316.5157154273474589 15403
95000000 309.05608224281132834 12896.403426006016161 3662.0841381714808449 -3823.5538593573000981 -862.30223521341713422 8347.9402327421994414 15396
96000000 310.28357558297170726 12947.624709866746343 3390.9481658991244331 -3823.1797058119514077 -1002.1327023736956789 8216.2605740847702691 15401
97000000 310.06095617317998858 12938.335167016468404 3518.6306949677673401 -3791.034537018113042 -901.41257948079896778 8211.0778114666791225 15383
98000000 309.08237965782950596 12897.50077400407099 3369.3691249940848138 -3766.1332319982657282 -1011.5879818221144433 8147.0903388144643031 15410
99000000 308.95189601805799384 12892.055905723933392 3662.5031598587293047 -3662.1562483569764481 -933.60091727056760647 8258.2603254862733593 15393
100000000 312.87845490213084076 13055.904767967605949 3539.1685198733448487 -3726.1301230129761279 -1072.6796631792590233 8337.9783060655790905 15419
101000000 310.13347276829438215 12941.361165595395505 3466.6869464070405229 -3724.5371441030597452 -1067.2744999486519646 8258.4985904587520054 15418
102000000 308.9411155871059691 12891.606056021399127 3428.9815170203887646 -3799.8768697945943131 -1048.9829611765728714 8277.8413479915561766 15399
103000000 307.82431329271344111 12845.003727955065187 3453.5710214346931934 -3762.0039616217577532 -1009.8466176600954896 8225.4216007165468909 15405
104000000 307.17956570237328151 12818.09946846717321 3361.4317042423344901 -3895.1568036428743653 -1013.316754320170503 8269.9052622053786763 15402
105000000 309.25404759766132656 12904.664195578938234 3405.6623093183097808 -3778.9024603172697425 -1078.064990367003702 8262.6297600025827705 15423
106000000 307.61356178005883066 12836.20941298766229 3548.9716638679483367 -3770.8600978326203403 -873.83129986057792848 8193.6630615611466055 15381
107000000 309.88582190131648986 12931.02710109108375 3600.631921115109435 -3815.933958252573575 -871.83511665067453578 8288.4009960183593648 15404
108000000 311.54760186157716362 13000.370453330748205 3582.9736072097889519 -3812.1512106453792512 -830.23741717525717831 8225.3622350304249267 15386
109000000 310.37725943498901415 12951.533983359600825 3543.4560041592926609 -3800.1587570104120459 -907.11761079844040978 8250.7323719681444345 15387
110000000 307.15260814815803769 12816.974573943127325 3701.6540098433442836 -3774.4150809992997893 -921.80730903194876191 8397.8763998745926074 15396
