# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
1000000 313.33067105732811797 13074.775006439727804 9218.6643277818129718 -1408.6957788393119699 2303.4544721178140207 8323.9056345033095567 14667
2000000 309.31808835149968218 12907.336511202729525 8698.3809379658778198 -1573.6160766848545336 2055.5822331643780672 8216.4147814863554231 14752
3000000 309.7736848802694567 12926.347807119846038 8663.5047442938375752 -1661.1465778245974434 1910.4341338834669841 8414.2171882349684893 14835
4000000 308.61568176699637434 12878.026236455505568 8245.5512149268397479 -1737.586767847489682 1670.5391720797204016 8312.5988106946097105 14905
5000000 304.35893482793318299 12700.399168221832952 8277.0623684423972009 -1783.5549640875610748 1734.9159954240208208 8325.7013371059383644 14901
6000000 311.69615740119525071 13006.569432351578143 8201.4767638558805629 -1860.4728879562865131 1642.5100500845824172 8419.4396017275848862 14902
7000000 309.2679749281087993 12905.245360236156557 8068.5560131488891784 -1863.6251815433315642 1619.7735625667137356 8312.407632125507007 14938
8000000 311.31003490663420052 12990.457173936929394 7824.1840372017186382 -1996.5871288259872927 1465.6199720489157698 8355.1511939787906158 14994
9000000 312.26495936993916303 13030.304605609435384 7994.094839650771064 -1985.1488617329277986 1584.8814471727037017 8394.362254210995161 14986
10000000 309.06131793493187843 12896.621902851095001 8035.4176997711228978 -1940.5501091234855267 1644.1507288936988971 8331.8170800009102095 14981
11000000 311.68962531047884568 13006.296858919329679 7942.7367281683218607 -2033.3488094076194557 1533.7364897138122615 8442.3490478621279181 15022
12000000 311.80939981100272007 13011.294852382829049 7568.9932756673606491 -2138.3131525968728965 1440.6973865135942106 8266.6090417506402446 15030
13000000 309.70922883205446396 12923.658161942847073 7720.0311383111738905 -2095.520672708004895 1533.0088654118856084 8282.542945607294314 15006
14000000 310.74607714488195143 12966.924141491799674 7847.5489623323310298 -2112.422569346048931 1538.2971897234469907 8421.6743419549329701 15002
15000000 308.39398415110917995 12868.775158553020447 7479.8432300210579342 -2161.5102115711670194 1446.5634889801069676 8194.7899526121182134 15050
16000000 309.14465077286774886 12900.099245503133716 7672.8205057065870278 -2113.2991880050062719 1474.0452555336391924 8312.0744381779531977 15058
17000000 308.60954209991018615 12877.770038217728143 7567.9031926169855069 -2222.9805900266278513 1429.837180419991455 8361.0466022236214485 15046
18000000 311.06764171802609553 12980.34250372781753 7488.6888916414609412 -2291.7147518903057062 1417.9790996795509272 8362.4245438522157201 15077
19000000 310.16027295829007926 12942.479493568655016 7572.2506769279916625 -2248.386142501613449 1428.0197620614990228 8392.6170573681065434 15053
20000000 312.62049451808076128 13045.140504224615142 7687.2299684425270243 -2272.9017813629343436 1488.6850034454269007 8471.4467463600358315 15052
21000000 306.23144858256961243 12778.536096074183661 7644.1922353133340948 -2197.3235868444307926 1575.3965629079584687 8266.1192592498082377 15034
22000000 312.39565872379478151 13035.758475284506858 7558.1276592203030305 -2242.0144003004779734 1437.9653355211034977 8362.1767239996770513 15054
23000000 309.21148183843644119 12902.887996259014471 7514.0457485600345535 -2237.1822714051722869 1451.020355295376703 8300.2076646698296827 15040
24000000 309.18710325051443988 12901.870717768595568 7401.5899287301053846 -2282.6620977712218519 1346.0479324034204183 8338.2040940979059087 15075
25000000 310.68356372480917571 12964.315559001051952 7315.6546946547068728 -2346.2535241640744061 1348.3565131888381075 8313.5517056299413525 15100
26000000 309.88760836709576552 12931.101647378052803 7152.7767611280669371 -2431.0316996277938415 1356.8727411307245347 8226.9357196251366986 15081
27000000 309.73941675090128456 12924.917854284816713 7432.7212058342029195 -2446.5769233008695664 1461.3088598659010131 8417.9892692691719276 15073
28000000 308.3890680943787288 12868.570019568533098 7289.3809005653292843 -2357.8669289112995102 1373.6525013953162215 8273.5953280813118909 15067
29000000 306.41686791415321522 12786.273340673058556 7197.1422993499381846 -2422.3691663802865151 1330.2569673441471423 8289.2544983860771026 15119
30000000 313.0427142843167303 13062.75904258276023 7323.241378476648606 -2420.0791062128250815 1369.3054527940355456 8374.0150318954383692 15100
31000000 310.73656875106263442 12966.527371812531783 7386.4949266301318858 -2384.7015718891107099 1347.2099214956178912 8423.9865770236247045 15093
32000000 307.71334373751790281 12840.373150419038211 7254.3961165977107157 -2421.0519760687666349 1489.7153231477341251 8185.7327695187450445 15062
33000000 306.16619152318008901 12775.813026014617208 7205.5790257100652525 -2383.101939336272153 1254.6536676361679383 8334.0272974101681029 15086
34000000 310.03664752408792538 12937.320806958716275 7242.0377921115914432 -2367.5271634617488417 1330.7716561293029827 8278.7932994440379844 15102
35000000 310.83873281707997194 12970.790510727123547 7346.1743904977129205 -2383.0634344189752483 1388.3148650978305341 8340.9229598188576347 15093
36000000 313.54544934326833072 13083.737352051986818 7202.4227122397051062 -2406.614276601058009 1330.061525397348305 8278.9754634434139007 15068
37000000 308.83458204142840486 12887.16058588701344 7264.5161987083956774 -2406.2674864128071022 1384.4460389900498285 8286.3376461311527237 15091
38000000 308.35248690211261646 12867.043546412449359 6957.2413174777493623 -2495.5706260372307952 1240.8278544245615649 8211.9840890904179105 15115
39000000 306.78233356051731562 12801.523622691951459 6957.9519397202820983 -2534.8523278373086214 1281.3554265836505692 8211.4488409739406052 15120
40000000 314.05125034826966157 13104.843598421381103 7138.9588525755725641 -2506.6673600196845655 1478.7404159334457745 8166.8857966618115825 15084
41000000 308.10177804441491389 12856.581876970840312 7179.717087552022349 -2494.2221709038117297 1340.0174758870070946 8333.9217825688283483 15118
42000000 310.22466237222710106 12945.166358206523 7081.2088749299082338 -2445.9674481411830129 1222.3818167689119036 8304.7945063021797978 15090
43000000 308.18678163059468034 12860.128937206885894 7192.3670526101132054 -2551.9093781829596992 1392.0560225290446397 8352.2204082640273555 15091
44000000 310.02478914259603471 12936.825976148111295 7094.794240079487281 -2382.9855274695210028 1211.5403549439233757 8266.2394126050858176 15118
45000000 309.52994300353509516 12916.176858367223758 7120.7896196729871008 -2552.9612859271665002 1308.2815066197997567 8365.4693989803527074 15116
46000000 307.69738123150193587 12839.707061223258279 7196.3134278976394853 -2384.5046049264492467 1280.1824024351303706 8300.6356303889588162 15112
47000000 314.20996896152462341 13111.466665836518587 7280.0927351548534716 -2500.8875483017513943 1407.9153308497577655 8373.0649526068482373 15071
48000000 310.36328141790045265 12950.950703631981014 7282.1812617603991384 -2502.9781133352444158 1407.5378869107173614 8377.6214881849264202 15077
