# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
1000000 307.48811696298764673 12830.974806514586817 10000.299833847710033 -1435.5607947562957634 2866.2481179387223165 8569.6125106652834802 14408
2000000 310.02070855284523532 12936.655699830425874 9649.7736853334463376 -1587.3588694196898814 2715.7937944547611551 8521.3387602983766556 14438
3000000 310.1905658361396263 12943.743565677663355 9365.791412172924538 -1695.8718528204158247 2628.2264949956011151 8433.4367699977392476 14491
4000000 307.46881518536150679 12830.16937499128835 9061.0708293613388378 -1791.5891641260541292 2505.8195472051220349 8346.840446282270932 14525
5000000 309.95099425564865214 12933.746636547532034 9235.1835073330184969 -1823.5436480867683713 2586.6153376149177348 8472.1118178048673144 14563
6000000 312.57785107137300429 13043.361063133444986 9013.7214812538732076 -1927.4853357119236534 2470.1734096252544077 8471.0334073405410891 14556
7000000 311.41195369437735962 12994.710077791422009 8963.6625641147693386 -1997.3638402174469775 2428.0361284215277919 8532.9902759106880694 14577
8000000 310.7525450648813603 12967.194037185274283 9008.3420332848018006 -1968.9322412980709487 2434.0113851898026951 8543.262889393070509 14594
9000000 310.43596387029032257 12953.983623162990625 8593.1671322226975462 -2072.1709192452631214 2216.5698314220107932 8448.7682200459494197 14646
10000000 309.98286287793968086 12935.07646188768922 8589.0069901600472804 -2193.465474487069514 2301.0137003511872535 8481.4587642959304503 14668
11000000 312.30799545809037454 13032.100430984064587 8570.291034601174033 -2179.9011902762031241 2341.821341185741403 8408.3708836916357541 14655
12000000 307.62380625844008364 12836.636898268439836 8578.0550999135757593 -2164.0821057950188333 2267.1095305994040245 8475.0276751091914775 14657
13000000 310.47402158958919927 12955.571709370484314 8487.9304247990330623 -2320.9596315941898865 2248.8004336661019806 8560.0896227271186945 14691
14000000 311.51717161444599924 12999.1006490269192 8392.8006788341954234 -2293.4201849291462167 2236.312221273185969 8449.9086424901561259 14668
15000000 313.85936487020865115 13096.836532135195739 8227.8138296742581588 -2362.3281918683610456 2229.8800497236866249 8360.2619718189325795 14675
16000000 308.05390755201921138 12854.584319836043505 8048.8058040947726113 -2453.1613349295384978 2161.6275435007446504 8340.3395955235664587 14730
17000000 307.5265839799025116 12832.57997204030471 8046.1973288427143416 -2430.3715612715459429 2053.9648426004932844 8422.6040475137670001 14734
18000000 310.32434191830503778 12949.325822178929229 8031.459259380817457 -2485.9215477564598586 2033.9321009017930919 8483.448706235483769 14737
19000000 309.05128779595133892 12896.203361601968936 8135.5887846204177549 -2413.2212979592304691 2137.1464528404385419 8411.6636297392087727 14724
20000000 309.87046503342980941 12930.38628418112603 7850.2464884442524635 -2542.8768630398926689 1962.4350325770658401 8430.6883189070795197 14757
21000000 309.17086699040072517 12901.193205263303753 8043.8394873885563356 -2621.4690009835267119 2200.3421263650584478 8464.966362007024145 14759
22000000 312.13593354285950454 13024.920569461957712 7827.8231928761570089 -2630.5095159624252119 2024.435965218696083 8433.8967436198872747 14751
23000000 306.79035121426937849 12801.8581862331921 7930.5139909052913936 -2690.1104344931472951 2166.5754635559660528 8454.0489618424726359 14750
24000000 309.06342040090584078 12896.709635307914141 7866.5757806296369381 -2581.7736336172520168 2058.7794674562151158 8389.5699467906742939 14762
25000000 310.18627847612202686 12943.564661175871151 7904.3991451606634655 -2580.2594404068522635 2067.203781027684272 8417.4548045398314571 14762
26000000 309.62905861542873254 12920.312790291032798 7977.6832408915524866 -2632.8610795295962816 2162.084011422806725 8448.4603089983429527 14726
27000000 310.37030721396718036 12951.24387857876718 7651.9372353776689124 -2789.8019206188337193 1898.2884376745739701 8543.4507183219284343 14813
28000000 306.23606987469389651 12778.728935015102252 7851.2159353255810856 -2657.7085836497899436 2023.3431861746296363 8485.5813328007425298 14762
29000000 307.2049840923215811 12819.160136190759658 7698.7611595777125331 -2710.7329730460996871 1948.5222263999958159 8460.9719062238145852 14776
30000000 308.9865586399099584 12893.502320083302038 7788.0404565998715043 -2646.6002900862945353 2015.658504257407003 8418.9822424287594913 14746
31000000 308.08061922040758418 12855.698953947814516 7668.1151753761405416 -2849.4278992494164413 2099.4308452244185901 8418.1122294011365739 14819
32000000 310.61048636638548714 12961.266160688941454 7494.8627656822409335 -2795.255901928626372 1945.5034833045974665 8344.6151843062707485 14816
33000000 309.78232526838240801 12926.708356344612184 7720.6768985341923326 -2690.640330486975472 2036.7008230249809912 8374.616405996186586 14789
34000000 310.19876717179710113 12944.08579396355708 7743.7415745121215878 -2650.0420596829426358 1916.8351196975827406 8476.9485144974823925 14818
35000000 309.45108167620696804 12912.886104519075161 7621.6606792101929386 -2658.178516457405749 1952.8604430478455924 8326.978752619752413 14768
36000000 308.72442359543339307 12882.563854607615212 7457.8783935458377528 -2747.341832991708543 1869.5502406286500445 8335.6699859088985249 14821
