# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
1000000 312.73243782282651182 13049.811714732315522 4762.472305673356459 -1500.79594963094587 -1780.4248045595923031 8043.6930598638946321 15608
2000000 310.05488405942406871 12938.081787668368634 4813.2449024866609761 -1406.1508429944612999 -1767.1728470514535729 7986.5685925325742573 15615
3000000 307.03449204473571399 12812.045782670722474 4904.9402948121387453 -1399.9116438443911647 -1689.4059199184398494 7994.2578585749697595 15604
4000000 313.74271605217660408 13091.968968275617954 4793.2745466127125837 -1415.7972762525214421 -1770.3087925646354961 7979.3806154298699767 15624
5000000 312.00356667486130391 13019.397117156622699 4832.0188051396162336 -1365.0403687030957371 -1791.8180881143487113 7988.8772619570609095 15623
6000000 311.50308162237411125 12998.512696766896624 5108.0722619522894092 -1325.0834738971384468 -1636.0079992446853794 8069.1637350941136901 15599
7000000 310.48011803130788167 12955.826103884568511 4984.1387479189716032 -1359.7193544115161785 -1733.3795588164898618 8077.2376611469771888 15614
8000000 311.09823125218059658 12981.618954817882695 4878.6601944450549126 -1295.592376856228384 -1701.0614783489741058 7875.3140496502564929 15616
9000000 305.91812176222430253 12765.461481751641259 4706.779025842172814 -1332.2222468603963534 -1792.016821987620915 7831.018094690189173 15608
10000000 305.49363065012022389 12747.748163855676466 4996.8790124699062289 -1331.5123295188436714 -1677.400912985448258 8005.792254974197931 15603
11000000 310.43606977505561417 12953.988042395150842 5000.1275043030182132 -1346.3928889809956218 -1695.0110897920621937 8041.5314830760744371 15610
12000000 312.6438305392852044 13046.114278115834168 5009.7125424829091571 -1312.3375262446625129 -1693.2671235474549576 8015.3171922750270824 15605
13000000 312.69876812177562897 13048.406733329476992 5000.3440310331734509 -1294.0138284166728226 -1689.1211280928555425 7983.4789875427013612 15622
14000000 307.78673922775828942 12843.435823850088127 5067.1682070945635132 -1332.9661945000252672 -1607.2209953846481767 8007.3553969792383214 15599
15000000 311.16831390003960678 12984.543388769783633 4963.6527521781581527 -1304.9037881561387167 -1716.322747376446614 7984.8792877107443928 15607
16000000 310.31805117399778737 12949.063319736500489 5041.8418024592056099 -1313.6083563769334432 -1643.3400751738051895 7998.79023400994447 15604
17000000 308.66801232499994967 12880.209904813120374 4963.1814217005903629 -1260.5265369593269043 -1776.4754975393213954 8000.1834561992382078 15620
18000000 311.66589436177031303 13005.306605351090184 4914.4420803738685208 -1264.8459179697185846 -1763.2378142501402181 7942.5258125937270961 15623
19000000 307.33569790526973975 12824.614609220046987 4876.1752660395432031 -1310.7842753281779551 -1701.4764897832824317 7888.4360311510035899 15616
20000000 312.37696291536877879 13034.978329862073224 5110.4596132477172432 -1249.7506691040030091 -1654.9844006389168953 8015.194682990637375 15604
21000000 308.45225415208250297 12871.206670124422089 5048.4653429381833121 -1267.3480556826382326 -1678.343710779628509 7994.1571094004502811 15601
22000000 311.75251774771703595 13008.921257174761195 4922.6079441650108492 -1281.7252305006650204 -1699.6196129366444438 7903.9527876023212229 15606
23000000 309.46472879815797796 12913.455576535310684 4901.2851012745413755 -1292.3942231206899578 -1792.5745054983322007 7986.2538298935633065 15620
24000000 312.73171615962439773 13049.781600910499037 4870.5087990458750937 -1249.3167955808094121 -1759.2175910093176299 7879.0431856360009988 15615
25000000 309.1714599607062155 12901.217948941615759 4920.2909211178011901 -1221.2098707994346114 -1669.3604601284068849 7810.8612520456426864 15609
26000000 309.26800760830445824 12905.24672392712273 5155.8895446698406886 -1255.7072873289221207 -1694.5795370976150025 8106.1763690963771296 15620
27000000 311.51775310624304893 12999.124913725900115 5082.3991683346030186 -1230.1787062232674543 -1748.5559920703444732 8061.1338666282154009 15611
28000000 311.69584100367586643 13006.556229602019812 5022.4662874299847317 -1190.9202914989778037 -1705.3092694706699604 7918.6958483996331779 15626
29000000 309.28391378410765356 12905.910462555511913 4978.7034087681622623 -1264.1164459415190322 -1756.5378614731148446 7999.357716182797958 15610
30000000 311.44922612541836315 12996.265395207874462 5134.1030989081027656 -1221.9764572155886526 -1624.3845926289113777 7980.4641487526032506 15602
31000000 308.2500264849152245 12862.768041249160888 4914.4725437283459542 -1260.9804232673723163 -1758.2769749428912291 7933.7299419386099544 15617
32000000 308.29952909755098744 12864.833704084720011 4980.7756380823539075 -1250.8782771735418464 -1758.3466609175857229 7990.0005761734810221 15623
33000000 307.0998573794848312 12814.773370883460302 4943.8133438312033832 -1261.4844373281141543 -1792.188241210230899 7997.4860223695486638 15625
34000000 307.27636579313394805 12822.138777491814835 5080.0533750719041564 -1225.0491940747181161 -1670.2578909634835327 7975.360460110105123 15609
35000000 311.41454612061602347 12994.818255486497947 5194.2468420925379178 -1235.9398052717479004 -1581.8454589427049086 8012.0321063069904994 15615
36000000 310.29037139399264333 12947.90828791477179 4952.3352689562671003 -1273.7793280779355882 -1665.7687866940730146 7891.8833837282754757 15613
37000000 308.51997413589316466 12874.032513980615477 4990.4407587163459539 -1248.619467268133576 -1807.3859726785808562 8046.4461986630594765 15614
38000000 307.72456166787856091 12840.841256254348991 4923.6623866782301775 -1205.4635568803089427 -1666.1345952275109994 7795.2605387860494375 15612
39000000 315.52922746400719234 13166.517159415987408 5077.7105062413611449 -1212.3063878235911943 -1604.3354640081465732 7894.3523580730980029 15612
40000000 308.42301393964504541 12869.986524016574549 5080.1555523731112771 -1246.5790791262238599 -1657.1351707610231188 7983.8698022603584832 15612
41000000 309.79422192911061984 12927.204784484967604 5250.454769540903726 -1222.4307082343996171 -1564.3757333972780543 8037.2612111725829891 15615
42000000 310.36995407519299306 12951.229142676906122 4938.6062822095263982 -1258.9874663419952867 -1688.3302226665982744 7885.9239712181206414 15599
43000000 309.60484736745667078 12919.302494622270387 5009.7530068968080741 -1209.3942332849469494 -1672.1072533665419542 7891.2544935482965229 15611
44000000 311.12542108151927778 12982.753541801872416 5053.5777267900994048 -1228.3825614969828166 -1636.4486111750752571 7918.4088994621570237 15599
45000000 311.56949292628092962 13001.283931557081814 4921.8056222696486657 -1240.2616662229643225 -1725.2817572654371361 7887.3490457580501243 15599
46000000 310.89103776052718331 12972.973110231312603 4842.0143655715764908 -1219.0548366191337664 -1762.6056748832547783 7823.6748770739650354 15613
47000000 313.10259037634619972 13065.257573699769637 5111.2668821144034155 -1229.0439958109093368 -1661.2926833708627328 8001.6035612961750303 15618
48000000 309.16806001038810336 12901.076074591133874 5104.7582553732900124 -1190.0923588758776077 -1640.8176680768062852 7935.6682823259734505 15606
49000000 306.01725405759947307 12769.5981098497723 5164.3184378872565503 -1224.2550028046389343 -1618.1161647759568041 8006.6896054678527435 15615
50000000 309.55336505546023318 12917.154222179317003 5122.5838231315847224 -1209.6500649174329283 -1623.8953573457870334 7956.1292453948044567 15605
51000000 310.96611328717949618 12976.105888826388764 5000.507905468579338 -1220.5281627983190447 -1658.7564467161691937 7879.7925149830662122 15602
52000000 308.59954588257164687 12877.352912463087705 4944.5342317990398442 -1238.5789392632257204 -1734.4953810193233039 7917.6085520815895507 15611
53000000 310.1555099602068708 12942.280741470483918 5064.0495523548579513 -1197.3184878374054279 -1665.2532433840144677 7926.6212835762780742 15625
54000000 309.44610478066454107 12912.678426830747412 5026.6841037330777908 -1194.591534846161494 -1735.4147543502604094 7956.6903929294994668 15605
55000000 310.31952308240397542 12949.124740060198747 5092.9204327988809382 -1163.5101614516552218 -1704.6290828630590113 7961.0596771135951712 15612
56000000 309.90389355624608925 12931.781201611793222 4934.5335227656942152 -1166.7210072105481231 -1812.7847078818806494 7914.0392378581236699 15614
57000000 307.94668459506590352 12850.110081699831426 4885.8086199524896074 -1172.6476333820714899 -1885.2818061901623423 7943.7380595247232122 15618
58000000 308.33446597818749524 12866.291562813352357 4828.7803113357276743 -1176.4203410369404992 -1821.9409183085103905 7827.141570681178564 15625
59000000 309.69553784072212466 12923.086859329281651 5135.2817265385292558 -1168.6739309004237839 -1706.7142694595354442 8010.6699268984893934 15620
60000000 312.47155471297730855 13038.925490435318352 4984.6444671374683821 -1173.5951320015069541 -1672.2085350710867715 7830.4481342100625625 15622
61000000 310.27300798400284521 12947.183741293800267 4965.3190839664130181 -1159.8454620576512752 -1743.2676530736330278 7868.4321990976968664 15621
62000000 312.06697536585681974 13022.043057834634965 5065.2488634144010575 -1137.8570560449043114 -1697.5772778972204833 7900.6831973565258522 15604
63000000 308.96202229273563944 12892.478458558027341 5116.2640923107819617 -1144.9984312955457426 -1723.5397739608520169 7984.8022975671792665 15620
64000000 313.34412542732530937 13075.33643523306273 5106.150235617051294 -1159.8138128743173638 -1773.8762909349470647 8039.8403394263150403 15611
65000000 310.25374775824457174 12946.380043661796662 5136.5849060934806403 -1124.29569709272414 -1766.0770419277328074 8026.9576451139373603 15628
66000000 306.43020761452572742 12786.829984491027062 5121.941033724893714 -1141.9248645311622568 -1661.6930871726942769 7925.5589854287491107 15608
67000000 308.75759757018636265 12883.948150165088009 4993.9249008064580266 -1124.5927100433975738 -1848.0056689503562666 7966.5232798002116397 15624
68000000 311.06494879262817221 12980.230132367656552 5155.1943194369105186 -1175.8864102791030746 -1673.9400873465037876 8005.0208170625182902 15602
69000000 311.07899481897970873 12980.816250010277145 5184.2659468633373763 -1147.6924326289381497 -1627.6903052033899257 7959.648684695664997 15614
70000000 310.68589519622406669 12964.412847479325137 4926.070251356350127 -1155.0857097770347082 -1747.2562874342881969 7828.4122485676725773 15628
71000000 307.47715947008168769 12830.517568307115653 4823.8769142393957736 -1140.9314607804813022 -1864.1372009966876249 7828.9455760165647007 15635
72000000 312.58354324697438642 13043.598588285496589 5136.2546504736383213 -1175.6472863404781037 -1641.9988430585813148 7953.9007798726979672 15612
73000000 308.42970005114869991 12870.265524483662375 5020.828822165451129 -1131.8560549695862392 -1740.5895511140565759 7893.2744282490948535 15625
74000000 305.75682236182166207 12758.730722321606663 5013.6827369685770464 -1128.5542719459033378 -1717.7794347735375595 7860.0164436880186258 15619
75000000 311.89364227350046122 13014.810152175950861 4840.8937985705197207 -1131.0287729982210294 -1864.3020936336304203 7836.2246652023723072 15626
76000000 306.68184019860808576 12797.330199519652524 5122.2550607765115274 -1112.1825740886997664 -1729.626589812671682 7964.0642246778834306 15617
77000000 308.88115450860846067 12889.103978558465315 5176.0976146947814414 -1113.1180983572076002 -1635.3152508951804975 7924.5309639471697665 15599
78000000 309.16341469350447824 12900.882233136409923 5188.1175035655496686 -1123.4912366458911492 -1671.4875513062420396 7983.0962915176824026 15608
79000000 303.84726605460485871 12679.048069503938677 5083.3711193413091678 -1123.6147245511599522 -1842.2743602921582351 8049.2602041846257634 15623
80000000 308.77476995229341128 12884.664725505817842 5086.3963115649121391 -1135.8874967345850564 -1671.1117952851750488 7893.3956035846722443 15613
81000000 310.00742405992991735 12936.101359729100295 5177.7445997191734932 -1091.9391189525390473 -1653.6955970144872481 7923.3793156861993339 15623
82000000 306.15082513951335841 12775.17181202676511 5117.5773864616248829 -1062.9830958602360624 -1718.6096746787786742 7899.1701570006407565 15620
83000000 307.34272335952448429 12824.907769903580629 5028.9025109964968578 -1123.6388516085739866 -1766.9050652257878937 7919.4464278308587382 15618
84000000 309.68573369203562606 12922.677748284477275 5191.4687578733528426 -1113.4986043134999818 -1624.6906574952854498 7929.658019682138729 15614
85000000 312.65839228536640348 13046.72191589693648 5063.2434741378410763 -1109.7391290544617277 -1770.1989976712325188 7943.1816008635350954 15625
86000000 313.68045932147452959 13089.371097011309757 5119.0510080949470648 -1082.812192638327133 -1716.2967806024012134 7918.1599813356751838 15621
87000000 312.00083519417296429 13019.28313694742792 5120.3580100419103474 -1105.2425529610866306 -1736.5087587574430472 7962.1093217604393431 15619
88000000 311.89057465579156769 13014.682145520187987 5148.4498123937810306 -1119.7842672697706803 -1663.7700053915668832 7932.004085055118594 15618
89000000 310.62841446139316304 12962.014270689562181 5195.6956623462556308 -1097.5989952781346801 -1680.7602445908216851 7974.0549022152126781 15622
90000000 313.10382747346221777 13065.309195733445449 5019.6497909831214201 -1113.4282177717295781 -1738.1289666172024226 7871.2069753720534209 15617
91000000 310.26770026464100738 12946.962258870074947 4971.4425978694707737 -1105.3097731112454767 -1850.5071829673574939 7927.2595539480735169 15617
92000000 307.20064290145171526 12818.978985415791612 5064.7709677591574291 -1102.1465326642876335 -1752.4047977613915918 7919.3222981848366544 15625
93000000 313.08215973681251398 13064.405036620526516 5196.8565436203380159 -1111.4145226594241649 -1683.6910301324141983 7991.9620964121768338 15622
94000000 304.69848382699916556 12714.567991055129824 5026.4592299477226334 -1084.5296790306731509 -1755.4291898882706846 7866.4180988666666963 15608
95000000 311.53903775757459016 13000.013087316794554 5037.8200382441027614 -1064.7722223104560726 -1756.7815323709335189 7859.373792925493035 15613
96000000 308.95862659834199349 12892.336761800292152 5116.5680092398488341 -1106.0156530764754734 -1663.8819740758704029 7886.4656363921958473 15601
97000000 311.50884967490094368 12998.753388138600712 5120.8139384603455255 -1080.5430076643106077 -1757.6578752899540632 7959.0148214146101964 15617
98000000 310.53684554717762012 12958.193250082444138 5199.1570752063425971 -1080.1300956597813183 -1672.060437303526669 7951.3476081696499023 15601
