# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
1000000 308.66445221054408421 12880.061347075856247 4628.0570656040217727 -1599.5930397844513209 -1771.7599882596998668 7999.4100936481727331 15635
2000000 311.84526975381709235 13012.791646265819509 4463.8950645804407031 -1491.2929762742121511 -1766.6860411722004756 7721.8740820268531024 15632
3000000 311.3371388814622378 12991.58817835300033 4641.2492469228709524 -1480.3741616899424116 -1678.4121559615407477 7800.0355645743538844 15631
4000000 310.41808668644875979 12953.237637601831011 4632.7606995908481622 -1490.9375498691083521 -1755.9919560171783814 7879.69020547713626 15619
5000000 308.18064285156106052 12859.872776026086285 4528.79958687242015 -1449.6216692667774169 -1736.4423700404825013 7714.8636261796800682 15630
6000000 305.28940590197731808 12739.226200066734236 4474.2280332697855556 -1467.2626505877833551 -1813.3193338643645802 7754.8100177219330362 15629
7000000 309.63946868217840347 12920.747185302841899 4392.2520297480559748 -1480.5503877882763391 -1890.6567108348435795 7763.4591283711761207 15646
8000000 307.47250159756799803 12830.323202926543672 4598.5948878830486137 -1435.2739365721349714 -1689.3636641761145256 7723.2324886312981107 15639
9000000 310.03536595218048433 12937.267329064938167 4485.1690357617671907 -1459.7629736959445381 -1857.5822358126158633 7802.5142452703275922 15640
10000000 308.29246778555125275 12864.539047116299116 4683.8270989273842133 -1461.9200224343567243 -1735.2477021158142634 7880.9948234775565652 15618
11000000 309.8509669706340901 12929.572661999629418 4589.3763127226284269 -1455.8529049291046249 -1748.7761854494524414 7794.0054031011841289 15610
12000000 310.33115982748086026 12949.610322346714383 4492.196674863476801 -1448.623972671311094 -1831.4841900114761302 7772.3048375462640251 15617
13000000 308.82882163072883941 12886.920213396228064 4592.9072447426215149 -1438.7317922183051451 -1799.2233485854628725 7830.8623855463883956 15624
14000000 309.83867472983484959 12929.05972695170567 4498.8293882523457796 -1461.7291283635329364 -1849.4837483521434933 7810.0422649680222094 15628
15000000 312.23856061899675751 13029.203029029466052 4503.9152272430383164 -1470.3536178942817969 -1834.9398415124153416 7809.2086866497356823 15627
16000000 310.86116689004091995 12971.726647797435362 4560.6777323979558787 -1449.3854997352725604 -1759.4999212880188679 7769.5631534212470797 15624
17000000 312.19142476578906553 13027.236127183095959 4531.005681709012606 -1436.4955328864095918 -1739.1290051463315649 7706.6302197417535353 15632
18000000 306.7136278941094929 12798.656647917607188 4432.8061046209140841 -1421.5812484266152751 -1853.530514700200456 7707.9178677477302699 15625
19000000 312.70917856780238253 13048.841144167896346 4450.0738681138609536 -1453.3023040888888318 -1781.0990056194145836 7684.4751778221652785 15652
20000000 309.05074515260156431 12896.180717984978401 4532.8246844082113967 -1466.507307137486805 -1783.3200475199232642 7782.6520390656205564 15630
21000000 309.64175584410236297 12920.842624818731565 4738.9269159198865964 -1400.5920370751396149 -1741.8573828251983286 7881.3763358202231757 15601
22000000 308.78123811321074754 12884.934631252403051 4614.9639454938851486 -1403.0498197521026214 -1715.5303663527165554 7733.5441315987045527 15613
23000000 307.52378231865452562 12832.463063311457518 4649.4914280310649701 -1404.1189598302205468 -1863.869011730515922 7917.4793995918007568 15641
24000000 309.15942736093290932 12900.715848287863992 4492.7953025760662058 -1403.605981952175398 -1726.0171282085429993 7622.4184127367843757 15616
25000000 310.13997870048467576 12941.63264747525136 4490.4689421125276567 -1448.1799198048638573 -1796.3145031414887853 7734.9633650588821183 15629
26000000 306.25960034811629384 12779.710823078452449 4483.6085388206220159 -1436.71796713721983 -1789.4851025728753484 7709.8116085307174217 15614
27000000 311.03117055170497451 12978.820621773962557 4624.2407791221248772 -1455.431989296215761 -1798.9270836455921199 7878.5998520639332128 15625
28000000 311.20895086130303753 12986.239102514218757 4713.5652349104138921 -1408.4508827648362512 -1680.9751208928362303 7802.9912385680863736 15613
29000000 311.4905694978849624 12997.99058633322602 4650.4322355078484179 -1362.2497667119916969 -1710.5968295265497545 7723.2788317463891872 15614
30000000 313.25834779446819311 13071.757075298693962 4502.4665275965035107 -1409.7697832559877043 -1784.6502621248248488 7696.8865729773169733 15627
31000000 308.53835889553755578 12874.79967984754694 4484.2753873286474118 -1427.6207046628314856 -1823.2981508346078954 7735.194242826086338 15631
32000000 311.70766822647345862 13007.049760211417379 4516.9186023468955682 -1423.4746261952750501 -1811.7033046387593913 7752.096533180930237 15629
33000000 310.15705983095853071 12942.345415034991674 4736.0378640762473879 -1394.8442072650568662 -1802.226657029370017 7933.1087283706729067 15638
34000000 312.42147889213521239 13036.835908561435645 4539.6897969684587224 -1402.4240630248334583 -1736.0408164010832479 7678.1546763943761107 15626
35000000 312.22542543910702761 13028.654919515807705 4636.2073879387053239 -1404.6700167879037053 -1775.2952185290314446 7816.1726232556402465 15628
36000000 308.82759725789168215 12886.869122325839271 4471.8233318644070096 -1400.6556201916705504 -1778.6367838406181363 7651.1157358966938773 15630
37000000 309.4784238850784277 12914.027050051050537 4684.9729975699128772 -1355.575880303032136 -1722.2453439463647555 7762.7942218193102235 15619
38000000 309.37046051004682568 12909.52191548279734 4621.2682600727021054 -1312.3059972793555517 -1789.6629555230053938 7723.2372128750621414 15617
39000000 310.66863144123453822 12963.692459298070389 4543.5288383347524359 -1408.0275702859935336 -1832.2210679832846836 7783.7774766040301984 15611
40000000 309.81597315341417698 12928.112427400754314 4687.1127842047244485 -1427.6903691491088466 -1736.9879754364424116 7851.791128790275252 15610
41000000 307.03176846266381972 12811.932132057836498 4876.2212358814213076 -1404.9267432718725104 -1585.0458956996853885 7866.193874852980116 15613
42000000 309.27185441279789302 12905.407244769450699 4702.3576873915244505 -1382.062926439252351 -1693.6077431577421066 7778.0283569885186807 15618
43000000 311.83890627836490239 13012.526108871998076 4421.5148474272964449 -1405.9364746785154239 -1752.7531714976139483 7580.2044936034253624 15606
44000000 310.08306835889237618 12939.257872259828218 4592.3236224001157098 -1358.9794096215030095 -1773.5416305628514237 7724.8446625844690061 15620
45000000 308.6864181535742091 12880.977949851940139 4731.7205390573162731 -1364.5353625541613383 -1679.907898508193739 7776.1638001196715777 15610
46000000 313.35849828090857727 13075.936190840031486 4838.6943676056680488 -1380.4083615317917975 -1667.2477150528629863 7886.3504441903232873 15604
47000000 313.02195704691564515 13061.8928771101655 4805.660729732049731 -1394.1639971546205743 -1681.2726092534817326 7881.0973361401520378 15621
48000000 309.15256709395640655 12900.429580598525718 4952.8976228638512112 -1328.7508340541708094 -1556.1512566351609621 7837.7997135531823005 15612
49000000 311.89049783341994271 13014.678939848618029 4804.1952476540373027 -1372.8334968581605153 -1633.3304906257535549 7810.3592351379502361 15618
50000000 310.16581506944413604 12942.710756777441929 4696.5078734679154877 -1385.5777296072606077 -1747.661428378364235 7829.7470314535403304 15619
51000000 310.60679656420666106 12961.112191295700541 4640.0883607382074842 -1387.0634060541424333 -1844.0212448576512543 7871.1730116500002623 15624
52000000 309.39469669908748983 12910.533251901448239 4707.8637502486435551 -1350.1881601412806049 -1793.5522730987599971 7851.6041834886837023 15623
53000000 314.03546328158608958 13104.184830021202288 4604.1909251908982696 -1387.6147802724842677 -1798.9735673227194184 7790.779272786101501 15627
54000000 312.0835436352571719 13022.734424542924899 4702.1815723228173738 -1369.3999671423109703 -1736.8708394907598631 7808.4523789558879798 15629
55000000 310.97034618637297854 12976.282520767312235 4718.557373102400561 -1358.1420484828620374 -1733.5223454368228886 7810.2217670220852597 15624
56000000 312.62432031031590896 13045.300148259866546 4694.2053617097299139 -1393.1393218020382392 -1638.9456991748970722 7726.2903826866649979 15632
57000000 310.7733761137353099 12968.063282688737672 4735.0183655671889937 -1333.4347214721010459 -1738.6346839685134 7807.0877710078038945 15625
58000000 309.97564669058664322 12934.775342224787892 4781.0693225060940676 -1328.8170871937109041 -1740.815623615990944 7850.7020333157961431 15630
