# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
1000000 312.67836352118723653 13047.555282812714722 4008.4307088784371444 -3150.4830951404132975 -1736.9524436879300993 8895.8662477067809959 15548
2000000 310.28892329510637182 12947.847861123289476 4016.6179745633562561 -2950.7505637365684379 -1781.8702300160132381 8749.2387683159377048 15586
3000000 311.43986887523794849 12995.874932504766548 4233.7902862663431733 -2686.946475705112789 -1790.8021754061758202 8711.5389373776324646 15585
4000000 309.54483407984531596 12916.798238558645608 4238.1702325023679805 -2591.4790443874171615 -1792.3792102745071588 8622.0284871642925282 15593
5000000 307.46845753074103413 12830.154450650568833 4122.5092346827095753 -2567.3443650746276035 -1939.1098206437827685 8628.9634204011199472 15605
6000000 309.78453510110045954 12926.800569039567563 4200.6182880428914359 -2477.0647987797683527 -1917.9595797350552857 8595.6426665577146196 15617
7000000 308.49533040179090904 12873.004171374965154 4173.0348869798890519 -2383.8205236718204105 -1998.9090307917597329 8555.7644414434689679 15622
8000000 312.43536455331098978 13037.415334428287679 4234.2514508793710775 -2440.153548189646699 -1893.0798228350806767 8567.484821904097771 15609
9000000 308.84093230114007156 12887.425571809655594 3908.06009490940869 -2386.3225012528423576 -2059.3770160316926194 8353.7596121939423028 15633
10000000 311.0492153924236618 12979.573603381630164 4019.8301195467047364 -2439.0224281471810173 -2031.4102600881742546 8490.2628077820590988 15659
11000000 308.67502056220638451 12880.502347057463339 4140.6657495460995051 -2356.5677665147272819 -2012.4456134872477833 8509.6791295480743429 15638
12000000 306.38036614711631955 12784.750181801522558 3936.6735033620816466 -2389.5451084029045887 -2014.9078982613546032 8341.1265100263408385 15648
13000000 306.60787942760276792 12794.243937849405484 4111.6108873128314372 -2334.5627444441643092 -1951.9039584775332514 8398.0775902345303621 15635
14000000 308.2356313501439331 12862.167355884761491 4119.5288979167326033 -2384.762644463570723 -1974.651164319674308 8478.9427066999778617 15637
15000000 311.64802374052430878 13004.560893636280525 3977.6064516702399487 -2423.3959059333064943 -1996.4845301051091155 8397.4868877086555585 15650
16000000 306.84314191758699053 12804.061055700072757 3923.3820450708508361 -2383.6027764477557866 -2074.7609013616770426 8381.7457228802850295 15632
17000000 311.23094559017158645 12987.156906476126096 3966.8123327453831735 -2380.8059904361343797 -2046.2860005001350601 8393.9043236816523859 15633
18000000 311.57501661337107635 13001.51442595989829 3969.7406527209441265 -2397.9609696564430124 -2054.7395366053297039 8422.4411589827177522 15657
19000000 310.99056520630284695 12977.126227307568115 4137.3484451648737377 -2367.1354448553784096 -1938.2517925484173702 8442.73568256866929 15647
20000000 313.06505259515029138 13063.69118365655595 3968.00163553002767 -2396.9835014850323205 -1998.2655532241346918 8363.2506902391942276 15652
21000000 307.04303260443083445 12812.40216621934087 3974.0369647248226102 -2415.7583320187377467 -2066.9786232279429896 8456.7739199715033465 15660
22000000 310.64130375594214684 12962.552119811231023 3869.3004361331641121 -2400.4295338423917201 -2088.4300473351636356 8358.1600173107181035 15661
23000000 308.41005358687743865 12869.445709751986215 3947.094168274623371 -2375.2522803028268754 -2034.2556283775084012 8356.602076954959557 15663
24000000 308.27880939625947576 12863.969104932415576 3993.407687753745904 -2406.9596108444957281 -2016.101991308352126 8416.4692899065939855 15658
25000000 311.93268990556055087 13016.439545819403065 3945.9391802468871902 -2447.0131695073600895 -1996.9547312304030129 8389.9070809846489283 15658
26000000 309.55670812826082283 12917.293723124277676 4028.4672302176240919 -2313.1781119006209337 -2065.9303184852260529 8407.575660603471988 15629
27000000 311.6863909397052339 13006.16189393167042 3961.6105574507027995 -2361.9342217861726567 -2059.2787696836389841 8382.8235489205144404 15655
