# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
1000000 308.89212117283341286 12889.561599470036526 4569.3381697463410092 -3468.7142502157466879 -1167.34138407861019 9205.3938040406974324 15397
2000000 308.66852118055811616 12880.231138520983222 4533.8206200309532505 -3286.4935479476584987 -1170.8686602748425685 8991.1828282534534083 15400
3000000 308.51823767453851133 12873.960054296274393 4277.444317388327363 -3319.5998433671966268 -1291.594191010060058 8888.6383517655849573 15408
4000000 311.52799154192854303 12999.55214685489409 4508.6334352204994502 -3287.4291886516261911 -1138.3994306053086802 8934.4620544774334121 15358
5000000 308.64535865559292915 12879.264604343276005 4636.1327037744104018 -3251.3413775233943852 -1076.7860370906025764 8964.2601183884071361 15357
6000000 309.59821950554191972 12919.025924814990503 4676.1867869748793964 -3287.0433232653876985 -979.96920932680700389 8943.1993195670729619 15350
7000000 313.32582805368883783 13074.57291584091945 4489.8431039624811092 -3258.3847441075258757 -1059.3098497425817186 8807.537697812587794 15369
8000000 308.37115909441615713 12867.822706372824541 4377.9131891389261 -3399.9831834677438565 -1079.9927972962598233 8857.8891699029300071 15362
9000000 310.6989054553648657 12964.955744255013997 4288.103942873836786 -3316.6796093844677671 -1210.0108926845339283 8814.7944449428396183 15372
10000000 309.44028809128354851 12912.435705922889611 4272.6874297453596228 -3324.338610963197425 -1066.4787087056797645 8663.5047494142363576 15369
11000000 306.1691838784436186 12775.937892091973481 4312.5128199941636922 -3502.7105663115107745 -1141.9345294187519357 8957.1579157244268572 15398
12000000 310.11819930617730279 12940.723829071408545 4077.9798912317678514 -3571.002229203774732 -1158.9720474233056393 8807.9541678588502691 15398
13000000 309.9453492144291431 12933.511078235929745 4110.8216235255113133 -3399.7727223386973492 -1230.4234107017150563 8741.0177565659214451 15388
14000000 310.30402517637241999 12948.478037859773394 3920.9686681282714744 -3510.5437448845545987 -1307.8253071775197895 8739.3377201903458626 15387
15000000 310.40192444190290644 12952.563213644791176 4150.8330296119511331 -3520.661456524971527 -1147.3323517289661595 8818.8268378658904112 15386
16000000 311.45881976520456647 12996.665722061528868 4037.7289842281643359 -3510.4420515899009843 -1153.1646690044244679 8701.3357048224897881 15384
17000000 307.74512869091080347 12841.699484393302555 3789.4587050395248298 -3544.7701244388390478 -1243.872674926356467 8578.1015044047198899 15392
18000000 310.86897568694814709 12972.052496085088933 3646.6295034062568448 -3636.6038261887838416 -1348.2520740292754908 8631.4854036243159499 15412
19000000 307.23333323628980907 12820.343099472836911 3646.442095050487751 -3617.7132236189299874 -1314.9097297735800112 8579.0650484429970675 15422
20000000 309.99906322667686709 12935.75247587013655 3759.6502362952533076 -3632.5763493242948243 -1182.6164462998810905 8574.8430319194285403 15416
21000000 308.76986451617000284 12884.460029701844178 3821.2772247946913922 -3636.9356408721914704 -1063.2097409041130049 8521.4226065709954128 15398
22000000 309.50545525503559929 12915.155024784940906 3715.4515657280271625 -3706.4213204916304676 -1219.8148924868874019 8641.6877787065441225 15403
23000000 311.88748204948905141 13014.553096131399798 3895.647454972732703 -3570.1370540480747877 -1150.9301575277943357 8616.7146665485997801 15377
24000000 309.28641831024077646 12906.014972323348047 3842.1949467797912803 -3614.7588609671083759 -1295.134353169883525 8752.0881609167827264 15399
25000000 310.05324334028830435 12938.013323149792996 3703.7959380380943912 -3729.9181930294062113 -1294.1494669081516804 8727.8635979756527377 15411
26000000 310.4864731844335779 12956.091294001354981 3809.8317980749752678 -3598.2527130492708238 -1199.3484977111570515 8607.4330088354035979 15384
27000000 311.90377188098011629 13015.232844082405791 3725.127158696710012 -3690.77067159052649 -1202.0718802155165577 8617.9697105027535144 15409
28000000 309.61490019700318044 12919.721982711500459 3888.001846241680596 -3593.6303184719799901 -1188.5167271819755115 8670.1488918956365524 15386
29000000 309.90040022011226029 12931.635430424385049 3796.4486242962784672 -3652.1042740568791487 -1195.0644575326127779 8643.6173558857699391 15403
30000000 312.2243932991440829 13028.611850007977409 3418.6015609107439559 -3847.0996370952489087 -1369.805525126833345 8635.5067231328248454 15422
31000000 308.39291732911675581 12868.730641820980964 3646.3139124032613836 -3775.3741358062770814 -1198.8162904391583652 8620.5043386486959207 15392
32000000 311.04468539961760598 12979.384574211519066 3709.2536976289793529 -3654.6386670883048282 -1298.1028631563619911 8661.99522787364549 15399
33000000 309.85824260899670435 12929.876262455652977 3786.653746347707056 -3693.0347579396320725 -1153.8779598814012388 8633.5664641687399126 15402
34000000 309.94799784117003583 12933.621601085787916 3791.339578524303306 -3732.1952283084310693 -1144.606642042254407 8668.1414488749887823 15395
35000000 311.24391923380761682 12987.698275346854643 3753.2625129548632685 -3652.6591391504744024 -1196.8624071659962738 8602.7840592713346268 15380
36000000 310.74802092991728841 12967.00525245330391 3610.9399480530810251 -3680.228595878804299 -1203.9045882175598763 8495.0731321494458825 15399
37000000 307.60239090341696055 12835.743270626864614 3492.5870975188472585 -3815.3936074049056515 -1218.9688309162277164 8526.9495358399799443 15422
38000000 310.69293340028502826 12964.706540191360546 3642.0960827364528996 -3765.5673984192735588 -1239.3096405712208252 8646.9731217269472836 15420
39000000 309.2707813462835702 12905.36246746375582 3466.8379031294271044 -3789.8725514283291886 -1237.2022551370685051 8493.9127096948250255 15432
40000000 309.21138332652770941 12902.883885518633178 3595.8620888659734192 -3759.3610643878741939 -1222.8506635761596044 8578.0738168300085817 15407
41000000 308.197846758381786 12860.590666841415441 3458.8241281701275511 -3767.5394321418207255 -1356.2929942371492871 8582.6565545490993827 15437
42000000 308.96708012549561317 12892.689513623698076 3381.3474393919523209 -3775.851929286691302 -1327.5134757470073055 8484.7128444256504736 15425
43000000 309.37081567265499871 12909.536735835930813 3477.4992293125105789 -3853.6496512238450123 -1212.1610088233451279 8543.3098893597016286 15418
44000000 311.85682772518430284 13013.273941454626765 3560.2829940768269807 -3747.6284859276393036 -1236.7567355720927935 8544.6682155765593052 15392
45000000 308.51637679650036716 12873.882402907785945 3378.0106970263186668 -3766.4353310301708007 -1326.6458233381376886 8471.091851394627156 15426
46000000 310.54949753761871989 12958.721196892895023 3468.2729923250562933 -3758.1101610989585424 -1282.7922600358028831 8509.1754134598177188 15418
47000000 311.69439068872293319 13006.495710337710989 3715.2031322384823397 -3820.1809299832757461 -1184.3920516126020175 8719.7761138343594212 15390
48000000 311.23318638491241472 12987.250411165510741 3519.1132610033932906 -3785.9150195646207067 -1238.2886491816514081 8543.3169297496642685 15412
49000000 310.26353880432350252 12946.788607956277701 3432.2628532770381753 -3844.7707176822295878 -1219.3368250756871021 8496.3703960349557747 15418
50000000 308.75051658912400399 12883.652672438944137 3663.8073951561186732 -3751.8908737586311872 -1170.1914570758390255 8585.8897259905897954 15402
51000000 310.64081961995418624 12962.531917610489472 3442.9752661934844582 -3842.9394970824901065 -1249.9372450914447654 8535.8520083674193302 15418
52000000 314.8987149806312118 13140.206907594569202 3343.3932727270857868 -3877.7908688014531435 -1276.8643181612733315 8498.0484596898113523 15421
53000000 310.91315204004519046 12973.895902845746605 3384.0566473339886215 -3778.4944959247150109 -1214.3006664276872471 8376.851809686391789 15415
54000000 309.26735464391208552 12905.219476793961803 3379.134230159560957 -3817.1427952630219806 -1229.705817171183071 8425.9828425937648717 15409
55000000 307.88966106701485614 12847.730583399123134 3331.2892840932927356 -3920.6648833881795326 -1285.9210406910387974 8537.8752081725106109 15434
56000000 309.75063709665221268 12925.386060910401284 3400.0136372751589988 -3836.0276388046017928 -1247.0156235844435741 8483.0568996642050479 15405
57000000 309.5827968836316586 12918.382364097473328 3304.4772311469632768 -3832.3281306886105995 -1451.0478569037666148 8587.8532187393393542 15443
58000000 310.31127430443547155 12948.780532084476363 3446.0182844937908158 -3762.1408208556113095 -1254.8330553399232485 8462.9921606893258286 15410
59000000 308.46188950423925235 12871.608737566886703 3421.572175293933924 -3846.6923862662811189 -1314.0209901876530694 8582.2855517478674301 15413
60000000 311.11624550994702076 12982.370660249109278 3462.4394159447083439 -3840.6897021824534022 -1302.5225807369001814 8605.6516988640614727 15435
61000000 308.30883259515246664 12865.221923780869474 3679.5713891401528599 -3740.1076739110139897 -1125.3482377374882617 8545.0273007886553387 15414
62000000 305.93567954201211023 12766.194139105495196 3438.4392337400167889 -3810.0552348173318933 -1288.4287869652418976 8536.9232555225898977 15423
63000000 309.55115569860612368 12917.062029341383095 3390.5553106950510482 -3697.0187309314774211 -1361.1795274819919541 8448.753569108521333 15430
64000000 308.47111970245242674 12871.99389859978146 3522.1089320634005162 -3736.4170413725387334 -1148.2338508594436917 8406.7598242953845329 15408
65000000 312.2978591787524465 13031.677460671906374 3598.0482134917610892 -3639.3858120295071785 -1233.2521290968270478 8470.6861546180953155 15404
66000000 311.61184525236666332 13003.051224662163804 3495.1876000324077722 -3827.8988273393215422 -1229.0285516670908237 8552.1149790388190013 15420
67000000 307.73798908866888269 12841.401560501481072 3528.2097448994572915 -3737.2160528490967408 -1297.0627763393624718 8562.4885740879162768 15418
68000000 305.32404882814864777 12740.671792557652225 3322.6488374611058134 -3768.2801873998955671 -1363.3299713172777956 8454.2589961782796308 15435
69000000 309.80370088438587572 12927.600325742074347 3706.553632805165762 -3734.601586967377898 -1225.5795941559827043 8666.7348139285277284 15401
70000000 310.14939962347676783 12942.025767140361495 3412.309857108117285 -3880.6031443791353013 -1258.3360540970465991 8551.24905558429964 15423
71000000 308.14205685108839816 12858.26264551164968 3523.7264517691646688 -3816.9530356095692696 -1310.8999266214373165 8651.5794140001708001 15433
72000000 314.53392506738532575 13124.984822810420155 3540.6848634882030638 -3808.841603628525263 -1180.3305408974401871 8529.8570080141689687 15386
73000000 309.3118635790435178 12907.076761657444877 3377.447896850005236 -3764.7758758126192333 -1244.745612201865697 8386.9693848644910759 15410
74000000 306.80839260472612295 12802.61102386708626 3445.9845527441434569 -3795.6860571272991365 -1203.6884176456910609 8445.3590275171336543 15396
75000000 310.1817920496981742 12943.37744995943649 3516.470931051799198 -3844.083111658085727 -1237.8663215217559355 8598.4203642316406331 15427
76000000 307.31477184325365215 12823.741398973161267 3701.1819763377029631 -3741.5945754994390882 -1237.8631830835811343 8680.6397349207236402 15409
77000000 309.87990973613051437 12930.780396134474358 3521.4683632642054363 -3850.3322195387572719 -1288.7959142911777235 8660.5964970941422507 15437
78000000 310.76606384277209827 12967.758153614371622 3335.9070068772361992 -3750.9961097604018505 -1334.7973476560182462 8421.7004642936572054 15426
79000000 311.87083637685373105 13013.85849951306227 3490.6549672563955937 -3822.0729946618694157 -1183.1620912765595222 8495.8900531948238495 15398
80000000 311.11398607586261278 12982.27637777048767 3536.6544726942056514 -3784.1399204710842241 -1244.9436378075920402 8565.7380309728814609 15412
81000000 310.03262337508266455 12937.152885820774827 3575.7683622916192689 -3811.8314825686211407 -1288.3390334689831889 8675.9388783292233711 15422
82000000 310.88156498788481485 12972.577826965336499 3420.4650321048479782 -3923.3201048204200561 -1212.8870833475625659 8556.6722202728306002 15429
83000000 308.72823660513353161 12882.722965248647597 3347.8972538994948991 -3884.9612529860432915 -1227.3551647621391112 8460.2136716476779839 15405
84000000 306.51446205111358267 12790.345783943288552 3513.162404322072689 -3762.2084497613723215 -1295.3613060427314849 8570.7321601261774049 15424
85000000 310.97320549823785996 12976.401835161846975 3254.4534934918992803 -3910.8659939431404382 -1349.9737262606456625 8515.2932136956842442 15434
86000000 305.35686495062469703 12742.041155526525472 3517.5923253152559482 -3841.5521763004862805 -1258.201105417233066 8617.3456070329757495 15417
87000000 308.41734399026972824 12869.749926328482616 3424.5716912759721708 -3787.3199969559304918 -1341.0478077093425782 8552.9394959412456956 15437
88000000 308.67368984864054937 12880.446818562879344 3520.6175463514218791 -3814.9636941696203394 -1284.4145209412624808 8619.9957614623053814 15417
89000000 309.57498438357026771 12918.056361283270235 3418.3014681295144328 -3824.0565493691465235 -1275.9076741973012759 8518.2656916959622322 15417
90000000 310.28223706519065672 12947.568855715058817 3566.3691018464555782 -3811.6649242178600616 -1145.9176028299525569 8523.9516288942686515 15410
91000000 311.25160120822096133 12988.018831539840903 3753.2603179623274627 -3646.5560625828911725 -1189.0289629962876461 8588.8453435415067361 15394
92000000 310.6326377215868888 12962.190500410835739 3255.1110028414541375 -3849.2466886241300017 -1341.4949660754100478 8445.852657540994187 15423
93000000 306.61195571414430106 12794.414034601224557 3372.1241215869495136 -3887.264786698379794 -1321.998697269998047 8581.387605555326445 15440
