Task 156 ⇒ Z(H)=-1.000  Z(p)=-2.000
[restart] seed=156  targets: Z(H)=-1.000, Z(p)=-2.000
[restart] seed=157  targets: Z(H)=-1.000, Z(p)=-2.000
[restart] seed=158  targets: Z(H)=-1.000, Z(p)=-2.000
[restart] seed=159  targets: Z(H)=-1.000, Z(p)=-2.000
[restart] seed=160  targets: Z(H)=-1.000, Z(p)=-2.000
[restart] seed=161  targets: Z(H)=-1.000, Z(p)=-2.000
[restart] seed=162  targets: Z(H)=-1.000, Z(p)=-2.000
[restart] seed=163  targets: Z(H)=-1.000, Z(p)=-2.000
[1/12] epochs complete | best_cost=0.000230919 | epoch_cost=0.000230919 | elapsed=13.3s
[1/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=13.4s
[1/12] epochs complete | best_cost=0.000230301 | epoch_cost=0.000230301 | elapsed=13.4s
[1/12] epochs complete | best_cost=0.000230164 | epoch_cost=0.000230164 | elapsed=13.4s
[1/12] epochs complete | best_cost=0.000230125 | epoch_cost=0.000230125 | elapsed=13.4s
[1/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=13.5s
[1/12] epochs complete | best_cost=0.000230971 | epoch_cost=0.000230971 | elapsed=13.5s
[1/12] epochs complete | best_cost=0.000230447 | epoch_cost=0.000230447 | elapsed=13.6s
[2/12] epochs complete | best_cost=0.000230301 | epoch_cost=0.000230301 | elapsed=26.6s
[2/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=26.7s
[2/12] epochs complete | best_cost=0.000230164 | epoch_cost=0.000230164 | elapsed=26.7s
[2/12] epochs complete | best_cost=0.000230301 | epoch_cost=0.000230301 | elapsed=26.7s
[2/12] epochs complete | best_cost=0.000230125 | epoch_cost=0.000230125 | elapsed=26.8s
[2/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=26.9s
[2/12] epochs complete | best_cost=0.000230131 | epoch_cost=0.000230131 | elapsed=26.9s
[2/12] epochs complete | best_cost=0.000230447 | epoch_cost=0.000230447 | elapsed=27.1s
[3/12] epochs complete | best_cost=0.000230163 | epoch_cost=0.000230163 | elapsed=39.9s
[3/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=40.0s
[3/12] epochs complete | best_cost=0.000230164 | epoch_cost=0.000230164 | elapsed=40.0s
[3/12] epochs complete | best_cost=0.000230301 | epoch_cost=0.000230301 | elapsed=40.1s
[3/12] epochs complete | best_cost=0.000230125 | epoch_cost=0.000230125 | elapsed=40.1s
[3/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=40.3s
[3/12] epochs complete | best_cost=0.000230131 | epoch_cost=0.000230131 | elapsed=40.4s
[3/12] epochs complete | best_cost=0.000230447 | epoch_cost=0.000230447 | elapsed=40.6s
[4/12] epochs complete | best_cost=0.000230163 | epoch_cost=0.000230163 | elapsed=53.2s
[4/12] epochs complete | best_cost=0.000230126 | epoch_cost=0.000230126 | elapsed=53.3s
[4/12] epochs complete | best_cost=0.000230164 | epoch_cost=0.000230164 | elapsed=53.4s
[4/12] epochs complete | best_cost=0.000230301 | epoch_cost=0.000230301 | elapsed=53.4s
