Task 6 ⇒ Z(H)=-12.000  Z(p)=2.000
[restart] seed=6  targets: Z(H)=-12.000, Z(p)=2.000
[restart] seed=7  targets: Z(H)=-12.000, Z(p)=2.000
[restart] seed=8  targets: Z(H)=-12.000, Z(p)=2.000
[restart] seed=9  targets: Z(H)=-12.000, Z(p)=2.000
[restart] seed=10  targets: Z(H)=-12.000, Z(p)=2.000
[restart] seed=11  targets: Z(H)=-12.000, Z(p)=2.000
[restart] seed=12  targets: Z(H)=-12.000, Z(p)=2.000
[restart] seed=13  targets: Z(H)=-12.000, Z(p)=2.000
[1/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=13.3s
[1/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=13.4s
[1/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=13.5s
[1/12] epochs complete | best_cost=9.44088 | epoch_cost=9.44088 | elapsed=13.5s
[1/12] epochs complete | best_cost=9.55302 | epoch_cost=9.55302 | elapsed=13.5s
[1/12] epochs complete | best_cost=12.0306 | epoch_cost=12.0306 | elapsed=13.5s
[1/12] epochs complete | best_cost=9.44088 | epoch_cost=9.44088 | elapsed=13.5s
[1/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=13.5s
[2/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=26.6s
[2/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=26.8s
[2/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=26.9s
[2/12] epochs complete | best_cost=9.55302 | epoch_cost=9.55302 | elapsed=26.9s
[2/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=26.9s
[2/12] epochs complete | best_cost=11.527 | epoch_cost=11.527 | elapsed=26.9s
[2/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=26.9s
[2/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=27.0s
[3/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=39.9s
[3/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=40.1s
[3/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=40.3s
[3/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=40.3s
[3/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=40.3s
[3/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=40.3s
[3/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=40.4s
[3/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=40.4s
[4/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=53.3s
[4/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=53.5s
[4/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=53.7s
[4/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=53.7s
[4/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=53.7s
[4/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=53.7s
[4/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=53.8s
[4/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=53.9s
[5/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=66.6s
[5/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=66.8s
[5/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=67.1s
[5/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=67.1s
[5/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=67.2s
[5/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=67.2s
[5/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=67.3s
[5/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=67.3s
[6/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=79.9s
[6/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=80.2s
[6/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=80.6s
[6/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=80.6s
[6/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=80.6s
[6/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=80.6s
[6/12] epochs complete | best_cost=9.32724 | epoch_cost=9.32724 | elapsed=80.7s
[6/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=80.8s
[7/12] epochs complete | best_cost=9.41903 | epoch_cost=9.41903 | elapsed=93.2s
