Task 84 ⇒ Z(H)=5.000  Z(p)=-4.000
[restart] seed=84  targets: Z(H)=5.000, Z(p)=-4.000
[restart] seed=85  targets: Z(H)=5.000, Z(p)=-4.000
[restart] seed=86  targets: Z(H)=5.000, Z(p)=-4.000
[restart] seed=87  targets: Z(H)=5.000, Z(p)=-4.000
[restart] seed=88  targets: Z(H)=5.000, Z(p)=-4.000
[restart] seed=89  targets: Z(H)=5.000, Z(p)=-4.000
[restart] seed=90  targets: Z(H)=5.000, Z(p)=-4.000
[restart] seed=91  targets: Z(H)=5.000, Z(p)=-4.000
[1/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=12.1s
[1/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=12.1s
[1/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=12.1s
[1/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=12.1s
[1/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=12.1s
[1/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=12.1s
[1/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=12.2s
[1/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=12.2s
[2/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=24.2s
[2/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=24.2s
[2/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=24.2s
[2/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=24.2s
[2/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=24.2s
[2/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=24.2s
[2/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=24.3s
[2/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=24.4s
[3/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=36.3s
[3/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=36.3s
[3/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=36.3s
[3/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=36.3s
[3/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=36.3s
[3/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=36.3s
[3/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=36.4s
[3/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=36.5s
[4/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=48.3s
[4/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=48.3s
[4/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=48.3s
[4/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=48.4s
[4/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=48.4s
[4/12] epochs complete | best_cost=1.07563 | epoch_cost=1.07563 | elapsed=48.4s
