# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
1000000 309.55467470215654657 12917.208871587989051 10842.311587401092766 -302.52837003559363893 2859.8702246074990398 8284.9697328291877056 14394
2000000 311.20777184739353061 12986.189904197486612 10616.526258011621394 -286.00503818857157512 2852.8254958474922205 8049.7058003527026813 14443
3000000 308.38194316215208346 12868.272707832387823 10372.898682508955972 -285.08480555650470478 2589.9917119001665924 8067.9917761652941408 14539
4000000 307.9998450547237212 12852.328380492348515 10588.938959475832235 -281.70930251828440305 2655.0895972233061002 8215.558664770809628 14539
5000000 309.53568747401772043 12916.416565698898921 10399.973612124700594 -266.72746325933690059 2600.651568685924758 8066.0495066981120544 14523
6000000 311.55108236031395563 13000.515688834633693 10532.69535773120333 -296.81343972269610276 2732.0562334516766896 8097.4525640022238804 14509
7000000 309.3851666448667288 12910.135578369152427 10395.482168412690953 -259.72301491063751655 2559.5861239475325419 8095.6190593757946772 14580
8000000 309.03692618107373846 12895.604074967755878 10348.386144349569804 -266.46834617885542684 2600.8689562076488073 8013.9855343207764236 14553
9000000 309.2730933841443175 12905.458945011687319 10222.215390945832041 -265.72169596775711398 2358.9170573234796393 8129.0200295901086065 14650
10000000 308.8319115513376687 12887.049150715423821 10429.048233427405648 -272.40333033177387279 2569.0561589240960529 8132.3954048350851735 14557
11000000 310.17052769214910768 12942.90740679369992 10261.174953938512772 -282.36778286155288242 2527.9109160579118907 8015.6318207421554689 14571
12000000 312.95571434064407867 13059.128677622782561 10154.553685031301939 -273.16480106192307176 2374.2614256879292043 8053.4570604052969429 14612
13000000 306.9726960204208126 12809.467135928342032 10469.209484458788211 -262.37183652035821524 2594.8462582558722715 8136.735062723273586 14567
14000000 310.34938236481247031 12950.370718942596795 10480.026474439791855 -244.45401899748239316 2514.4528935547023138 8210.0275998825709394 14576
15000000 306.70162143663850429 12798.155638139254734 10292.793881995892662 -279.8833037327240163 2402.0504302398258005 8170.6267554887908773 14631
16000000 306.42148694480675886 12786.466085246511284 10203.001689561126113 -263.56670941835250233 2305.441289455669903 8161.1271095238080306 14663
17000000 310.89956938981123358 12973.329121128525003 10607.034341537242653 -241.45374469940179551 2597.2208914316947812 8251.2671948049501225 14566
18000000 310.96442865614756101 12976.03559193640649 10495.860750080784783 -275.75030611531349223 2562.205377931075418 8209.4056782650222885 14559
19000000 305.94157161965455316 12766.440005841857783 10207.436976151217095 -262.94230900004106388 2392.254090849858585 8078.1251943013994605 14623
20000000 310.65114840871103752 12962.96292102496227 10301.92672693149143 -265.78117751265074276 2514.8690537310430955 8052.838850713100328 14632
21000000 307.40882395088988233 12827.666039169014766 10225.69865169950026 -328.14537126595223526 2508.6599887210004454 8045.1840342444520502 14590
22000000 308.12357325358811977 12857.491355303096498 10426.124688451756811 -263.42571776283489271 2472.6527285241718346 8216.897677690420096 14597
23000000 313.652317451223837 13088.196782921513659 10495.940520948533958 -304.43541943797356453 2622.8143223928659609 8177.5616179936423578 14554
24000000 310.88811770197850137 12972.85126097729335 10275.231352302329469 -285.65344863981113122 2508.556612247677549 8052.3281886944632788 14606
25000000 311.03564141882344529 12979.007183726102085 10229.440450671318104 -272.56221884459779403 2437.7344652903084352 8064.2682042256074055 14640
26000000 313.40449526201052777 13077.855569421304608 10643.127521764239646 -295.2194608827059028 2669.0852147846726439 8269.2617678622737003 14540
27000000 314.06995358891413161 13105.624053978102893 10342.316966363487154 -257.3901201732953723 2527.7601825893916612 8071.9469039473906378 14570
28000000 309.26803314158178182 12905.247789388908132 10368.376400689976435 -289.82406118770853709 2534.1962018001722754 8124.0042600775150277 14603
29000000 310.30964798167036633 12948.71266830283821 10404.949253952603613 -287.70925402358295742 2656.1687691020761122 8036.4897388741119357 14521
30000000 312.25340720477817058 13029.822552704090413 10079.890812958317838 -263.66010458741334332 2279.1162800428110131 8064.4346375029190312 14619
31000000 312.74517419000585505 13050.343182445665661 10394.541149573475195 -279.61219875026210957 2609.3861108379464895 8064.7672374857902469 14562
32000000 307.69440568222881893 12839.582896432320922 10324.571919830290426 -278.68902730434638215 2562.4380800444769193 8040.8228670901598889 14566
33000000 310.58955516878671688 12960.392736142612193 10438.313884833392876 -277.25831769162437013 2498.1401562667119833 8217.4320462583054905 14555
34000000 310.53283103937684473 12958.025731256153449 10334.023246107062732 -282.69228964403788495 2451.9362146428229607 8164.7793211082762355 14613
35000000 310.25339747082551867 12946.365426742309864 10401.957655891241302 -286.08873029539824984 2451.6340955329765166 8236.41229065366133 14593
36000000 312.50200645547897693 13040.196191705705132 10220.766104525539049 -291.79198475193788909 2427.9214654602574228 8084.6366238172195153 14602
37000000 309.25337518571723194 12904.636136931341753 10336.052773641455133 -269.91915589186135094 2463.5960513255458864 8142.3758782077693468 14582
38000000 308.39067690572869651 12868.637152627539763 10245.302823536272626 -277.04367824954039179 2523.8425225299724843 7998.5039792558400222 14560
39000000 307.30708976906652197 12823.420838616779292 10373.686075155032086 -262.43005762363441136 2466.1106811233612461 8170.0054516553045687 14594
40000000 310.63388058999299801 12962.242363270981514 10332.594560116751381 -278.62744431927546884 2517.0220682798185408 8094.1999361562084232 14604
41000000 309.89901796711137649 12931.577751273704052 10480.301119588930305 -281.11113270299341593 2555.1504276978039343 8206.2618245941193891 14595
42000000 311.76975810096172381 13009.640668839585487 10514.662024668385129 -288.83826119939055843 2646.0713937519817591 8157.4288921157931327 14549
43000000 309.8951879331773398 12931.417930239314956 10280.16788114879455 -248.00859768260994542 2411.423084724338878 8116.7533941070660148 14621
44000000 311.76778144777489388 13009.55818634402749 10350.83659980354787 -250.40564714401673996 2487.1087879243832504 8114.1334590231799666 14603
45000000 313.59538817101969244 13085.821217428878299 10336.358249293494737 -260.52502213647039753 2439.7874455271471561 8157.0958259028175235 14600
46000000 306.44436574644498705 12787.420780115122398 10406.102314319021389 -280.42291101226868477 2567.818043375576508 8118.7071819557131676 14614
47000000 307.19910771763892399 12818.914924713153596 10299.299577039724682 -304.75900979215919051 2511.9910134602782819 8092.0675733716052491 14630
48000000 309.79235197561115456 12927.126754392364091 10352.295763295740471 -254.60373704677556361 2501.6926807232766805 8105.2068196192385585 14603
49000000 313.30941948929717 13073.888213360705777 10408.170872517177486 -292.24582258590493211 2553.5976932814046449 8146.8190018216782846 14557
50000000 309.80935539659685674 12927.83627926261579 10379.850608960807222 -269.82120811210512556 2480.9986091826758638 8168.6732078902368812 14594
51000000 312.74309706387219876 13050.256507378824608 10553.184940073069811 -288.5535132832641807 2637.5783123005335256 8204.1601410557996132 14585
52000000 313.57844108973608854 13085.114043521991334 10512.82237679564787 -264.4450256863760842 2643.4324009878337165 8133.835001494192511 14577
53000000 306.79406969946302297 12802.013352521596971 10379.618734659517941 -286.53057383590447671 2575.9447315681118198 8090.2045769273099722 14587
54000000 312.06516084469882344 13021.967340842726117 10375.208905168183264 -302.55638176321269839 2455.2353837633254443 8222.5299031680697226 14600
55000000 307.43231894661846582 12828.646446806389577 10507.632198804320069 -280.62813554169309782 2652.5081388027742832 8135.7521955432384857 14546
56000000 308.64195271953826705 12879.122480217823977 10275.262849022446972 -298.94457712222401824 2472.4762192763605526 8101.7312068683113466 14605
57000000 311.09641775541598463 12981.543280572228468 10207.472432626087539 -260.1371196814430391 2345.1464369346308558 8122.4631153728996651 14655
58000000 306.62842206302258319 12795.101148333291349 10235.949617111169573 -289.09750334579814535 2464.4227616344333001 8060.6243588225352141 14598
