# Steps Temp KinEng PotEng Epair Ebond Eangle Bonds
1000000 312.88252766504598412 13056.074717684276038 11700.744150164155144 -247.24679842333461011 3705.1188423987969145 8242.8721061886935786 14022
2000000 311.80607412547749391 13011.156076980350917 11800.748498542501693 -239.61839177375031795 3737.2240062099299394 8303.1428841063207074 14026
3000000 313.86468338953397961 13097.058465223684834 11797.29068730239851 -254.79109451775445905 3779.4026472796244889 8272.6791345405290485 14042
4000000 310.77865590442081611 12968.283599694606892 11482.103408663615483 -231.10021597054929998 3572.4234559665542292 8140.780168667612088 14051
5000000 309.63912972216644448 12920.733041057474111 11791.956386638592448 -219.79308275808682538 3777.6457362760374963 8234.1037331206425733 14038
6000000 307.37990322905000085 12826.459224879801695 11629.53216300508393 -223.38270517310144214 3744.2736133171802066 8108.6412548610060185 14045
7000000 306.6064073136682282 12794.182508949344992 11738.898013650228677 -236.04128420722605597 3697.2472165283088543 8277.6920813291471859 14040
8000000 311.5517809252298207 13000.544838802848972 11580.022294984242762 -231.95612921186295807 3643.2349916874591145 8168.7434325086460376 14060
9000000 312.40762183143573338 13036.257676145551159 11640.072526842241132 -245.96741012388099534 3674.343700140222154 8211.6962368259009963 14051
10000000 311.20906893944606963 12986.244029721465267 11541.464360219091759 -228.92401717485003587 3581.1929395182196458 8189.195437875720927 14070
11000000 309.21403738272732653 12902.994634930899338 11715.629268654272892 -265.96714864348257379 3706.1662344101632698 8275.4301828875923093 14038
12000000 311.89249689312458713 13014.762357331414023 11844.026718837827502 -250.81703300143649926 3777.7063099240967858 8317.1374419151652546 14029
13000000 307.5786712895120445 12834.753490041390251 11579.861398797444053 -247.62918865355339904 3677.0220031791327528 8150.4685842718654385 14051
14000000 311.09249706258526658 12981.379676490771089 11552.006238664536795 -259.49951090878209925 3693.2261191451507329 8118.2796304281700941 14038
15000000 309.78764689734498461 12926.930419193164198 11616.262304404142924 -256.34474657906184802 3631.4683037127729222 8241.1387472704300308 14045
16000000 309.03648985941862293 12895.585867980704279 11620.172152173536233 -239.58173723569166214 3704.3943006381778105 8155.3595887710498573 14054
17000000 310.93099020171979419 12974.640260075881088 11711.03145949786267 -248.23479371239824331 3717.4214823818920195 8241.8447708283692918 14025
18000000 312.10143380537897428 13023.480952000260004 11705.163981580855761 -236.46375393274740873 3703.0296651173039209 8238.5980703962995904 14044
19000000 310.91450176611016332 12973.952224700738952 11728.337925543042729 -219.51949302578003653 3813.3095495869001752 8134.5478689819210558 14015
20000000 309.17835538415846486 12901.50568365302388 11746.16116304744537 -223.38504207753373976 3744.5320284254430589 8225.0141766995366197 14048
21000000 307.89078439428277534 12847.777458003633001 11776.482172146796074 -225.27277398152031651 3763.1917706687700047 8238.5631754595469829 14038
22000000 307.19553599655853304 12818.765882650484855 11622.692931818710349 -232.5445472836489671 3593.2107743973379002 8262.0267047050219844 14057
23000000 309.48801151796055819 12914.427126246448097 11645.219077756235492 -243.60421634928471235 3698.1159284152495275 8190.7073656902721268 14055
24000000 309.994458424887398 12935.560325043843477 11700.898741569944832 -237.57545413440709581 3707.514930313072 8230.9592653912804963 14049
25000000 309.89042395642337624 12931.219137302818126 11751.756883813799504 -222.3800852268253152 3654.5532989668722621 8319.5836700737527281 14046
26000000 307.88651095400177837 12847.599134349618907 11627.981993947749288 -246.88443111569486632 3663.1460388156488079 8211.7203862477945222 14043
